gene,pearson_r,p,percent_cell,imp_sumup_norm
ADORA2A,0.5069244432485935,2.9285387431779807e-176,0.0821320817968488,1.4092863
GPRC5A,0.4751626057853328,3.867411556279503e-152,0.0013409319477036,0.0036462534
RGS9,0.4297483910107634,8.539148650611026e-122,0.193764666443178,1.4990323
DRD2,0.3750642257197716,6.179268569789628e-91,0.0848139456922561,0.3549328
TIMP1,0.3297281150066316,1.7202975800420622e-69,0.0120683875293328,0.009974692
EPS8L2,0.3188339768042383,7.51885897558406e-65,0.1421387864565873,0.991074
STARD8,0.312137279983808,4.310112542709704e-62,0.1773382500838082,1.5460823
RAB37,0.3016245427291902,6.646401847141031e-58,0.1330874958095876,0.5188665
C1QL2,0.2968685587044808,4.582274223110241e-56,0.1190077103586993,1.6958641
ABHD12B,0.2831455609298692,5.93140158326118e-51,0.062018102581294,0.5372465
LCT,0.2828760589879392,7.425374613877936e-51,0.0569896077774053,0.5262274
LHX9,0.2591282494914228,1.1178892395405896e-42,0.0787797519275896,0.7764703
DRD1,0.2580492001179649,2.5151702631352066e-42,0.1314113308749581,0.83457106
OTOF,0.252609193856484,1.4149953810136627e-40,0.1327522628226617,0.85037667
CRLF1,0.2514908195040956,3.2015528166137513e-40,0.1039222259470332,0.77952015
PATJ,0.2467261772325968,9.91585575938873e-39,0.2138786456587328,0.89236695
ANO5,0.2445768130526032,4.554928092081717e-38,0.0828025477707006,0.6415005
NKX2-1,0.237156836623309,7.849624841012848e-36,0.0405631914180355,0.5832855
GBX2,0.2369105410923912,9.28479578204224e-36,0.0767683540060342,1.1930488
GCK,0.2318503881240145,2.802100229618793e-34,0.0472678511565538,0.0283427
ROBO3,0.2299814392177236,9.663107752949386e-34,0.1347636607442172,0.73627055
SYT9,0.2276720211846559,4.3940165856341816e-33,0.1823667448876969,0.5420338
A830036E02RIK,0.2265643912449752,9.031189284655432e-33,0.1813610459269192,0.608569
LHX8,0.2261001690826484,1.2200617453579687e-32,0.0174321153201475,1.2166903
ASB4,0.225833050693688,1.4501697003058244e-32,0.0358699296010727,0.3098774
IGFN1,0.2251192018714611,2.29864762270855e-32,0.0687227623198122,0.43689486
SYNDIG1L,0.2233377860828918,7.205953337838473e-32,0.1461615822996982,1.3818463
SSTR2,0.2197557649817661,6.957860393466858e-31,0.2152195776064364,1.4055097
A830009L08RIK,0.2183170099793729,1.7106150899734304e-30,0.0985584981562185,1.7554376
SYT6,0.2178024581749632,2.3561152526988477e-30,0.127723768018773,0.97013545
LRRC10B,0.2177452247741534,2.4414080607215425e-30,0.1562185719074757,1.0379231
SH3RF2,0.2146486738035054,1.6468749127230978e-29,0.0201139792155548,0.006659738
RSPO2,0.2113308961043006,1.232176493749728e-28,0.0871605766007375,0.547244
NEXN,0.2076970216404041,1.074323092710854e-27,0.120013409319477,0.53070444
FHAD1OS2,0.2075856811320496,1.1472908424533474e-27,0.0016761649346295,0.004793103
GM15756,0.2066651000607807,1.972450625451877e-27,0.0010056989607777,0.004018809
ERCC6L,0.2040388466845528,9.124484898362036e-27,0.0030170968823332,0.0057098754
ZFP423,0.2034675906409659,1.2696844318905691e-26,0.1910828025477707,0.76777714
GAL,0.201125620218317,4.8691905893305895e-26,0.0757626550452564,0.6092968
KCNG1,0.2008579682726766,5.671691332997094e-26,0.2038216560509554,0.81794906
GM765,0.2002065788482633,8.21424192213119e-26,0.0248072410325176,1.3135152
