,imp_sumup,imp_sumup_norm
Plekha1,0.2241887,0.0709776
Cnih3,0.08731415,0.027643448
Gpc5,0.15137072,0.047923606
Sirt3,0.1124753,0.035609405
Rab8a,0.13883582,0.043955088
Nadk,0.105549686,0.033416774
Tiparp,0.13066414,0.04136795
Fbxo28,0.2301151,0.072853886
Rgl1,0.098389186,0.031149779
Ctsb,0.32141316,0.10175863
Tank,0.15530449,0.049169026
Rnf216,0.26353052,0.08343313
Vps13b,0.13788141,0.043652922
Rapgef1,0.20969014,0.066387385
Rgma,0.097867005,0.030984458
Gnptab,0.112261645,0.035541765
Cuedc1,0.075882316,0.024024157
Sqstm1,0.35169396,0.11134545
Ssna1,0.09715861,0.03076018
Aamdc,0.0983816,0.031147378
Arhgef2,0.1084866,0.034346595
Sptlc2,0.069608144,0.02203777
Mrps18a,0.090355136,0.02860622
Cend1,0.1877739,0.059448764
Ak5,0.07727841,0.024466159
Rab11fip4,0.07097436,0.022470308
Tgfbrap1,0.10283173,0.032556277
Trf,0.21554193,0.06824005
Atp6v1e1,0.20257215,0.064133845
Qsox2,0.059296202,0.018773032
Shisa3,0.53667474,0.16990992
Tnfsf12,0.05716151,0.018097196
Scg2,0.39014244,0.123518154
Arid1b,0.17559494,0.05559293
Pfkm,0.22854058,0.07235539
Actb,0.63451236,0.20088507
Pcdhb7,0.051692814,0.016365819
Nup188,0.06393925,0.020243013
B430212C06Rik,0.032216076,0.010199531
Rrm1,0.0817954,0.025896225
Dip2b,0.15486294,0.04902923
Atg12,0.1615396,0.051143043
Ccpg1,0.092774615,0.029372219
Shfm1,0.17822902,0.05642688
Slc25a23,0.23380773,0.074022956
Cc2d2a,0.07470363,0.023650987
Mff,0.18529743,0.058664717
Cog5,0.068662725,0.021738453
Ddx26b,0.12204883,0.038640365
Rpp21,0.090185575,0.028552532
Snx13,0.14787403,0.04681656
Aco2,0.19045137,0.060296442
Ndufs3,0.20886596,0.06612646
Stim1,0.047965907,0.015185891
Pcyox1,0.05770435,0.018269058
1500015O10Rik,0.04142025,0.013113551
Atp5d,0.2519312,0.079760805
Armcx2,0.15140375,0.047934063
Dcaf17,0.04888619,0.015477249
Hnrnph2,0.20851539,0.06601546
H3f3a,0.24693403,0.07817872
Gtf3c1,0.12277254,0.038869485
Mpc2,0.19866067,0.062895484
Wdr8,0.066389725,0.021018825
Psmb4,0.23891911,0.075641215
Dbnl,0.09909464,0.03137312
Ptpra,0.23470569,0.074307255
Porcn,0.08410882,0.026628649
B3gnt1,0.16122141,0.051042307
Pgap1,0.13527034,0.042826265
Anp32a,0.17689353,0.056004066
Jhdm1d,0.28901336,0.09150093
Phf10,0.045179192,0.014303623
Ttc14,0.2030331,0.06427978
Grk5,0.048941553,0.015494778
Dnaja3,0.16660799,0.052747685
Ei24,0.15362296,0.048636656
Fam76b,0.09992948,0.03163743
Rps19bp1,0.09713381,0.030752325
Htr1f,0.059670735,0.018891608
Rundc1,0.10500189,0.03324334
Cltb,0.19075954,0.060394008
Eif4ebp2,0.041527007,0.0131473495
Spock3,0.15094611,0.047789175
Phf3,0.16217351,0.05134374
Nap1l4,0.21680993,0.0686415
Eif5a,0.26986936,0.08543999
Eps15l1,0.07876797,0.024937749
Ppfia2,0.24155504,0.07647574
Spg11,0.07855788,0.024871234
Hadhb,0.18287894,0.057899024
D930016D06Rik,0.08234999,0.026071807
Fkbp15,0.06645685,0.021040076
Alg2,0.10257607,0.032475334
BC005764,0.10058661,0.031845476
Tet2,0.10201002,0.032296125
Gle1,0.11384303,0.036042426
Slc9a3r2,0.110636234,0.03502716
Rnf25,0.083816625,0.026536139
Mmadhc,0.28108597,0.088991135
Cux1,0.1390699,0.044029195
Lgals3bp,0.1319971,0.041789956
Prkce,0.16895287,0.05349007
Vopp1,0.3409923,0.10795734
Srp72,0.18330798,0.05803486
Zfhx3,0.092827074,0.029388826
Vamp2,0.46515822,0.14726797
Dek,0.07865023,0.024900474
Lyrm1,0.052716136,0.016689802
Ociad2,0.15442556,0.048890762
Mlst8,0.071098916,0.022509744
Cxx1a,0.17580537,0.055659555
Gpr155,0.14799175,0.04685383
BC003331,0.1262334,0.039965186
Cisd1,0.1963221,0.0621551
Txlna,0.09004687,0.02850862
Gcsh,0.2427394,0.076850705
Atp6ap1l,0.09325264,0.02952356
Ier5,0.13457973,0.04260762
Khsrp,0.1722866,0.054545518
Impdh2,0.07981918,0.025270559
Ipo9,0.2609019,0.082600914
Gm1673,0.15688938,0.049670793
Sparc,0.32959202,0.10434803
Dlg4,0.25748688,0.08151972
Pygo1,0.04897038,0.015503903
Asns,0.12796326,0.04051286
Cacna1i,0.18448216,0.058406603
Sh3gl2,0.34351808,0.10875699
Exoc1,0.0905142,0.028656578
Git1,0.1952362,0.061811306
Ptcd2,0.0855528,0.027085807
Bag1,0.15796188,0.05001035
Ier5l,0.024921719,0.007890156
Wtap,0.13902596,0.04401528
Atp6v1f,0.16639419,0.052679997
Ireb2,0.16055545,0.05083147
Ccnl1,0.120613314,0.038185883
Cox7a2,0.2103804,0.066605926
Exosc8,0.1388971,0.043974485
Ankib1,0.18626054,0.05896963
Anapc16,0.11877482,0.037603818
Huwe1,0.26463068,0.08378143
Amotl2,0.12162306,0.03850557
Cul4a,0.100461446,0.031805847
Numa1,0.234142,0.074128784
Cxadr,0.120185316,0.038050376
