x,y,n_genes,leiden
16.918,16.996,5753,0
18.017,17.034,4397,2
20.075,17.059,4569,1
18.979,17.065,3622,1
21.937,16.967,5192,4
20.899,17.015,4178,2
24.121,17.055,5571,4
23.122,17.085,5797,0
25.068,16.996,3868,2
26.035,16.991,4252,2
26.987,16.997,2601,1
27.948,16.969,3974,1
9.868,17.084,3266,1
9.004,17.028,2255,3
12.074,17.04,4373,1
13.045,17.149,4961,2
14.014,17.063,3092,3
15.011,17.051,4740,0
16.003,17.048,4182,0
15.076,19.996,4132,0
15.063,19.016,4856,0
15.019,18.024,4991,0
15.932,18.0,4883,0
15.893,20.047,4238,0
15.936,19.021,5170,0
12.973,18.014,4653,2
14.07,18.032,5265,4
13.059,20.044,3067,3
14.013,19.054,4921,4
14.004,20.024,5636,0
13.061,19.072,3816,3
13.969,21.05,5311,0
14.069,21.943,4725,0
13.058,22.014,4300,0
13.014,20.919,5642,4
15.89,21.016,5462,0
15.084,21.071,5385,0
15.051,21.998,3705,0
15.996,22.102,5776,0
12.08,19.06,5909,2
12.121,18.058,4919,2
12.092,20.032,4419,3
10.896,18.992,4721,1
10.877,17.97,4627,1
10.868,20.032,4598,2
9.959,20.044,3264,3
9.918,18.981,3695,1
9.023,19.044,4480,1
9.018,20.048,4518,1
9.899,17.997,3568,1
9.049,18.018,4347,1
9.068,20.979,4463,1
9.906,20.97,5162,2
9.966,21.951,4328,2
9.059,22.014,3908,2
12.131,21.968,5725,0
12.073,21.045,3912,3
10.868,20.971,4108,3
10.903,21.945,3400,3
10.899,23.91,6207,4
12.153,24.01,4839,0
12.115,22.986,5390,0
10.857,22.897,5338,4
9.03,23.949,5731,2
9.056,22.94,3931,2
9.966,23.953,4892,3
9.999,22.935,3966,3
9.074,24.935,6168,1
9.951,24.909,3905,2
12.123,25.002,5385,0
10.86,24.947,4129,4
15.949,22.955,4562,0
15.98,23.961,4556,0
15.009,22.966,4569,0
15.073,23.973,4408,0
13.048,23.951,3788,0
13.067,22.915,4097,0
14.05,23.965,3230,0
14.048,22.95,4545,0
13.111,24.919,5453,0
14.085,24.905,5270,0
15.033,24.886,4207,0
15.953,24.959,4800,0
29.058,18.046,4398,1
29.077,18.972,3387,1
29.042,20.088,4399,1
28.971,20.971,4498,1
28.989,21.969,4037,1
27.011,20.052,3694,2
26.98,18.983,3830,1
26.993,17.966,3822,1
27.979,17.991,3304,1
28.011,18.987,3785,1
27.995,20.017,2614,1
25.06,19.024,2872,2
25.062,20.007,3242,2
26.027,20.023,4046,2
26.064,17.981,4602,2
25.044,18.022,4188,2
26.071,18.994,4067,2
26.111,21.979,4350,4
25.055,21.994,4918,0
26.076,20.965,3364,3
25.04,21.01,5837,4
27.937,20.97,4586,1
27.038,20.951,3776,2
26.991,21.958,2862,3
27.97,21.947,4248,2
27.977,22.897,4268,2
28.0,23.902,4034,3
27.012,22.908,4569,3
26.993,23.896,4209,4
26.03,23.935,4787,0
26.072,22.884,4909,0
25.107,22.896,5097,0
25.119,23.921,4261,0
25.013,24.806,5936,0
26.159,24.845,5428,0
27.976,24.882,4407,2
27.031,24.865,4320,3
28.98,23.89,4935,1
28.994,22.861,5087,2
29.007,24.906,5307,1
23.159,20.027,4743,0
23.1,19.036,4861,0
24.124,19.029,4826,0
24.122,18.025,6137,0
24.096,20.049,5049,0
23.114,18.019,5829,0
21.919,17.952,6194,4
20.975,20.036,4506,3
20.97,17.974,4319,2
21.934,18.934,6360,4
21.956,19.964,4740,4
20.96,18.968,4599,3
20.929,20.972,6996,2
21.933,21.931,5263,4
21.006,21.941,5537,2
21.976,20.925,4776,3
24.1,22.013,5327,0
23.115,21.019,5887,0
23.156,22.013,5087,0
24.13,21.008,4476,0
19.037,17.976,4985,1
20.051,20.007,4341,1
18.978,20.047,7368,1
18.957,18.977,4220,1
19.993,18.035,4211,1
20.062,19.0,3976,1
16.987,17.981,5980,4
17.028,19.984,3815,3
17.956,18.006,5785,2
16.987,18.995,4974,4
17.976,19.0,4254,2
18.068,22.018,5576,2
17.988,21.045,5978,2
16.981,20.987,4052,4
16.965,22.101,3451,3
19.032,21.982,4278,1
18.98,21.065,4433,1
20.072,20.997,4960,1
20.053,21.979,3848,1
20.078,22.838,5224,1
20.111,23.889,4654,1
19.039,23.982,4763,1
18.984,22.881,4253,1
16.93,22.932,3326,3
18.155,22.881,4170,2
16.869,23.909,4770,4
18.126,23.926,5779,2
16.988,24.905,5318,4
18.033,24.967,4379,2
18.997,24.953,3389,1
20.094,24.903,4649,1
23.176,22.999,5878,0
24.112,22.904,4980,0
24.115,23.954,4246,0
23.182,23.977,5810,0
20.923,23.871,5166,2
21.938,23.891,6043,4
21.949,22.839,4358,3
21.011,22.796,5484,2
21.016,24.87,6009,2
21.956,24.877,6073,4
23.227,24.938,5196,0
24.213,24.842,4560,0
17.994,15.992,4501,2
16.927,15.977,4762,4
18.904,15.986,3047,1
20.085,15.949,4021,1
21.901,15.95,4754,2
20.933,15.956,3875,1
23.132,16.038,3614,3
24.059,16.02,3930,3
26.042,15.983,4904,1
25.075,16.007,3837,2
26.992,15.973,4800,1
9.885,15.988,3783,1
12.064,16.067,4042,1
10.877,15.971,3636,1
13.093,16.033,4390,2
14.008,16.038,4528,3
15.956,16.001,4661,0
15.001,16.014,5613,4
17.002,15.002,4038,2
17.969,15.026,2904,2
12.045,15.052,3975,1
10.877,14.964,4221,1
15.026,15.004,4231,3
15.908,15.036,2594,3
13.083,15.039,4887,1
13.973,15.034,3085,2
23.151,15.033,5764,2
24.092,15.02,4360,2
21.908,14.979,5224,2
25.077,15.02,4386,1
17.983,13.979,3548,1
15.042,14.003,3240,2
15.96,13.988,2987,2
14.015,14.092,5484,1
9.938,25.924,4073,2
10.906,25.928,3996,3
12.211,26.031,5595,0
13.941,25.99,4776,0
13.052,25.997,5288,0
15.065,25.942,4678,0
15.954,25.936,4084,0
25.117,25.95,5223,0
26.096,25.912,6159,4
26.984,25.925,3817,3
27.963,25.91,5593,2
28.951,25.907,4500,1
16.996,25.92,5371,4
17.98,25.935,3756,3
19.04,25.9,4497,1
20.045,25.924,5113,1
20.999,25.892,5808,2
21.945,25.895,4950,4
24.036,25.953,4717,0
23.245,26.014,5008,0
