,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,MoransI
0610005C13RIK,273,False,False,273,0.007143547,99.34115262090936,296.0,0.04103814731745215
0610007P14RIK,1560,False,False,1560,0.03916884,96.23515783376774,1623.0,0.0015557510438001596
0610009B22RIK,873,False,False,873,0.021551307,97.89313640312771,893.0,0.0004114370239574948
0610009E02RIK,63,False,False,63,0.0015445506,99.84795829713293,64.0,-0.00017100143995792434
0610009L18RIK,141,False,False,141,0.003475239,99.6597161888213,144.0,0.00019460000174450503
0610009O20RIK,578,False,False,578,0.014190559,98.60507771020369,588.0,0.0006060259133237495
0610010F05RIK,1117,False,False,1117,0.027826045,97.30427647456318,1153.0,0.00037882365750203386
0610010K14RIK,19,False,False,19,0.00045853847,99.95414615310358,19.0,0.0007238177966499673
0610011F06RIK,1416,False,False,1416,0.0356212,96.58268172603533,1476.0,0.009685630145109973
0610025J13RIK,29,False,False,29,0.00072400813,99.93001254947389,30.0,0.00023635379635997101
0610030E20RIK,1920,False,False,1920,0.049136017,95.36634810309876,2036.0,0.0017049338990529294
0610037L13RIK,2046,False,False,2046,0.051670045,95.06226469736461,2141.0,0.0027189687109367496
0610038B21RIK,70,False,False,70,0.0017134858,99.83106477459214,71.0,-0.00037823256338385134
0610039K10RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.402044774211831e-05
0610040B10RIK,146,False,False,146,0.0037889758,99.64764938700647,157.0,0.00021948400654259805
0610040F04RIK,23,False,False,23,0.0005550729,99.9444927116517,23.0,0.0015393535842846537
0610040J01RIK,181,False,False,181,0.004561251,99.56318177430254,189.0,0.008631273719083874
0610043K17RIK,25,False,False,25,0.0006274737,99.93966599092576,26.0,-0.0005766841823633902
1010001B22RIK,8,False,False,8,0.00019306883,99.98069311709624,8.0,-0.00019715094596189274
1010001N08RIK,24,False,False,24,0.0005792065,99.94207935128874,24.0,0.0023978833340775134
1110001J03RIK,1061,False,False,1061,0.026426297,97.43942465488948,1095.0,0.00355715296937795
1110002E22RIK,61,False,False,61,0.001520417,99.85278501785886,63.0,0.005423048079292932
1110002J07RIK,19,False,False,19,0.00045853847,99.95414615310358,19.0,-0.00045028240594854896
1110002L01RIK,517,False,False,517,0.01279081,98.75229269234482,530.0,0.0006781109667485404
1110004E09RIK,974,False,False,974,0.024568008,97.6493870064678,1018.0,0.004016780834489881
1110004F10RIK,3616,False,False,3616,0.09325224,91.27328892750266,3864.0,0.0033607936321236194
1110007C09RIK,685,False,False,685,0.016821122,98.34684815136596,697.0,0.0013219864396079822
1110008F13RIK,1946,False,False,1946,0.04949802,95.30360073366155,2051.0,0.00806831592603681
1110008L16RIK,565,False,False,565,0.014045757,98.63645139492229,582.0,0.0010390026589327372
1110008P14RIK,436,False,False,436,0.010691186,98.94777488174535,443.0,0.0004372644526879088
1110012L19RIK,683,False,False,683,0.017158993,98.3516748720919,711.0,-2.726730225276934e-05
1110017D15RIK,73,False,False,73,0.0018100203,99.82382469350324,75.0,0.00449092576266715
1110018N20RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,-0.0002112284398410119
1110019D14RIK,113,False,False,113,0.0028477653,99.72729027898446,118.0,-0.0005923239586661153
1110020A21RIK,77,False,False,77,0.0018824211,99.81417125205135,78.0,-0.0007017081046591142
1110025M09RIK,110,False,False,110,0.0027029635,99.73453036007336,112.0,-4.003724460063305e-06
1110028F11RIK,37,False,False,37,0.00091707695,99.91070566657014,38.0,0.0038746646952399506
1110032A03RIK,713,False,False,713,0.017858867,98.27927406120281,740.0,0.0016732090900767676
1110032F04RIK,60,False,False,60,0.0014480163,99.85519837822183,60.0,0.00041865654613846155
1110034G24RIK,290,False,False,290,0.007143547,99.30012549473888,296.0,0.0004763495302199469
1110035H17RIK,12,False,False,12,0.00028960325,99.97103967564436,12.0,0.0002758444092112707
1110036E04RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00010656949073017404
1110037F02RIK,2534,False,False,2534,0.065257266,93.88454484023553,2704.0,0.0018680399639221363
