,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,MoransI_Sc,MoransI_My,MoransI_Ept,MoransI_PEL,MoransI_LM,MoransI_Ml,MoransI_IO
0610005C13RIK,273,False,False,273,0.007143547,99.34115262090936,296.0,-0.0003928486103931233,-0.0003493348766234417,0.0009796513795777525,-0.004881394922654174,-0.00274058233044879,-2.0,-0.016669203361115773
0610007P14RIK,1560,False,False,1560,0.03916884,96.23515783376774,1623.0,-0.003292856693106933,0.0026841043641434204,0.001304770774431795,-7.344709125380488e-05,-0.007286414958903566,-0.02438338090689232,-0.03941034019499469
0610009B22RIK,873,False,False,873,0.021551307,97.89313640312771,893.0,0.006454234376899088,0.0005576165250492758,-0.0031635242681313964,0.0016561317196117395,0.020968258724515878,-0.01660118442592637,-0.021612249623218237
0610009E02RIK,63,False,False,63,0.0015445506,99.84795829713293,64.0,-0.001117021613288362,-2.0,-0.004903709895368758,-0.008194531492793282,-2.0,-2.0,-2.0
0610009L18RIK,141,False,False,141,0.003475239,99.6597161888213,144.0,-0.003104806930837077,0.010585936321397106,-0.002732423523653551,-2.0,-2.0,0.0019460250189471508,-2.0
0610009O20RIK,578,False,False,578,0.014190559,98.60507771020369,588.0,-0.003247455832729152,-0.00847210517381247,0.008334515602168127,-0.009695020035696169,-0.006370964674928451,-0.03318944284614924,0.044917360491324054
0610010F05RIK,1117,False,False,1117,0.027826045,97.30427647456318,1153.0,0.0014210596967410612,-6.549630679219877e-05,-0.0024807026442669007,0.0011207684593963771,0.003943812046140798,-0.018799388204729334,-0.010227693463151747
0610010K14RIK,19,False,False,19,0.00045853847,99.95414615310358,19.0,-0.0007057092834588775,-0.0006048841113608603,-2.0,-2.0,-2.0,-2.0,-2.0
0610011F06RIK,1416,False,False,1416,0.0356212,96.58268172603533,1476.0,0.010017774298988182,0.005225764459259424,0.00026452041360464746,-0.007137469951426629,-0.01078490117234039,0.000654601293215678,-0.009177196775991471
0610025J13RIK,29,False,False,29,0.00072400813,99.93001254947389,30.0,-0.0011286435428244474,0.014181470855859149,-2.0,-2.0,-2.0,-2.0,-2.0
