,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,imp_sumup,imp_sumup_norm,imp_sumup_Sc,imp_sumup_norm_Sc,imp_sumup_My,imp_sumup_norm_My,imp_sumup_Ept,imp_sumup_norm_Ept
0610005C13RIK,273,False,False,273,0.007143547,99.34115262090936,296.0,0.007992569,0.00881154,0.0023114025,0.00014803675,0.003414064,0.0003136332,0.013574346,0.00020545437
0610007P14RIK,1560,False,False,1560,0.03916884,96.23515783376774,1623.0,0.047939695,0.05285191,1.2370373,0.079227656,0.21492986,0.019744547,12.376426,0.18732326
0610009B22RIK,873,False,False,873,0.021551307,97.89313640312771,893.0,0.027687404,0.030524436,1.0499017,0.06724231,0.8994307,0.08262626,0.53483003,0.008094914
0610009E02RIK,63,False,False,63,0.0015445506,99.84795829713293,64.0,0.003430039,0.003781503,0.008523656,0.0005459086,0.0016101769,0.00014791901,1.5589759,0.023595864
0610009L18RIK,141,False,False,141,0.003475239,99.6597161888213,144.0,0.0038597821,0.004255281,0.08799527,0.005635771,0.0033818067,0.00031066992,0.008087833,0.00012241332
0610009O20RIK,578,False,False,578,0.014190559,98.60507771020369,588.0,0.010842363,0.011953344,0.14075297,0.009014706,0.14963295,0.013746041,0.6658749,0.010078343
0610010F05RIK,1117,False,False,1117,0.027826045,97.30427647456318,1153.0,0.03041604,0.033532668,0.5248482,0.033614583,0.15847969,0.014558748,3.536448,0.05352587
0610010K14RIK,19,False,False,19,0.00045853847,99.95414615310358,19.0,0.0025924414,0.0028580797,0.0028678495,0.00018367515,0.0021382375,0.00019642933,0.008644587,0.00013084007
0610011F06RIK,1416,False,False,1416,0.0356212,96.58268172603533,1476.0,0.06155667,0.06786417,0.7264341,0.046525408,0.33417818,0.030699302,1.2415088,0.018790843
0610025J13RIK,29,False,False,29,0.00072400813,99.93001254947389,30.0,0.0026657672,0.0029389192,0.00274873,0.00017604596,0.06195273,0.0056912918,0.0087741725,0.00013280139
0610030E20RIK,1920,False,False,1920,0.049136017,95.36634810309876,2036.0,0.053002194,0.058433145,0.75959694,0.04864937,3.0894785,0.28381515,9.324096,0.14112476
0610037L13RIK,2046,False,False,2046,0.051670045,95.06226469736461,2141.0,0.09115309,0.10049324,3.5534167,0.22758317,1.7750424,0.16306439,4.8100605,0.07280262
0610038B21RIK,70,False,False,70,0.0017134858,99.83106477459214,71.0,0.0040476196,0.004462365,0.05318597,0.0034063642,0.028048454,0.0025766732,0.008495173,0.0001285786
0610039K10RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,0.0022432962,0.002473159,0.0018995085,0.00012165647,0.0016555731,0.00015208936,0.0087972665,0.00013315093
0610040B10RIK,146,False,False,146,0.0037889758,99.64764938700647,157.0,0.0041066213,0.0045274124,0.24422137,0.015641473,0.004892134,0.00044941626,0.24189797,0.003661244
0610040F04RIK,23,False,False,23,0.0005550729,99.9444927116517,23.0,0.0029963593,0.0033033858,0.0025862665,0.00016564078,0.0026325732,0.00024184152,0.0086883595,0.00013150257
0610040J01RIK,181,False,False,181,0.004561251,99.56318177430254,189.0,0.00824069,0.009085085,0.009481504,0.00060725515,0.110566586,0.010157208,0.045022998,0.0006814451
0610043K17RIK,25,False,False,25,0.0006274737,99.93966599092576,26.0,0.0028906686,0.0031868652,0.010306459,0.0006600905,0.00524499,0.00048183143,0.0086451,0.00013084781
1010001B22RIK,8,False,False,8,0.00019306883,99.98069311709624,8.0,0.0032686752,0.003603605,0.002575075,0.000164924,0.0016524526,0.00015180267,0.008774496,0.00013280628
1010001N08RIK,24,False,False,24,0.0005792065,99.94207935128874,24.0,0.0025521684,0.0028136803,0.002706902,0.00017336704,0.0027723766,0.0002546846,0.008774091,0.00013280015
1110001J03RIK,1061,False,False,1061,0.026426297,97.43942465488948,1095.0,0.0414903,0.04574167,0.55349904,0.03544956,0.25850257,0.023747358,2.6100583,0.03950451
1110002E22RIK,61,False,False,61,0.001520417,99.85278501785886,63.0,0.002792292,0.0030784085,0.02014883,0.0012904578,0.0555869,0.0051064943,0.008691367,0.00013154809
1110002J07RIK,19,False,False,19,0.00045853847,99.95414615310358,19.0,0.0028689555,0.0031629275,0.008845587,0.000566527,0.001671509,0.00015355331,0.008823967,0.00013355505
1110002L01RIK,517,False,False,517,0.01279081,98.75229269234482,530.0,0.010404618,0.011470743,0.21341513,0.013668448,0.38153103,0.035049375,0.9934631,0.01503655
1110004E09RIK,974,False,False,974,0.024568008,97.6493870064678,1018.0,0.023093402,0.025459703,0.29713684,0.019030515,0.19744064,0.018137898,2.0544355,0.031094884
1110004F10RIK,3616,False,False,3616,0.09325224,91.27328892750266,3864.0,0.17050903,0.18798049,4.005088,0.25651103,0.76372886,0.07016,19.296942,0.29206863
1110007C09RIK,685,False,False,685,0.016821122,98.34684815136596,697.0,0.00979087,0.010794107,0.3787404,0.024256919,0.65777034,0.06042612,2.0724916,0.031368174
1110008F13RIK,1946,False,False,1946,0.04949802,95.30360073366155,2051.0,0.06716317,0.07404515,0.9210936,0.05899263,0.9036241,0.08301149,5.5992413,0.084747255
1110008L16RIK,565,False,False,565,0.014045757,98.63645139492229,582.0,0.010681117,0.011775575,0.5508321,0.035278752,0.16526677,0.015182245,0.5198333,0.007867932
