,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,imp_sumup,imp_sumup_norm,MoransI
TBX5,1382,False,False,1382,0.038589634,96.6647359783763,1599.0,60.191624,0.8233701,0.1596371365536224
PITX1,1230,False,False,1230,0.032652766,97.03156675354764,1353.0,44.627525,0.6104666,0.0804807401557873
CXCL14,8265,False,False,8265,0.29937735,80.05357660005792,12405.0,39.67841,0.54276687,0.2472223168726475
BARX1,2831,False,False,2831,0.090235546,93.16777681243363,3739.0,39.4062,0.5390433,0.2501723379055874
SFRP2,7671,False,False,7671,0.2717685,81.48711265566175,11261.0,38.345497,0.52453375,0.2228217563685192
ALDH1A1,2458,False,False,2458,0.17815426,94.06796022782122,7382.0,37.450092,0.5122854,0.5362628769735509
CRYBA1,5777,False,False,5777,0.9622068,86.05801718312578,39870.0,36.564274,0.50016814,0.5651034382363714
SHOX2,3480,False,False,3480,0.10486051,91.60150593686649,4345.0,35.49217,0.48550263,0.1583260638577745
HMGA2,10622,False,False,10622,0.3418525,74.36528622453903,14165.0,34.18562,0.46763015,0.1074495846264357
DLK1,11053,False,False,11053,0.44080028,73.32512790809925,18265.0,33.577286,0.45930868,0.3079413072129614
CRYBB3,7071,False,False,7071,1.2431461,82.93512887344339,51511.0,33.38252,0.45664442,0.5109806607060303
RPRM,1792,False,False,1792,0.052659523,95.67525822955884,2182.0,33.210808,0.45429558,0.1414320948244121
PRRX1,12810,False,False,12810,0.48494062,69.084853750362,20094.0,33.190445,0.45401704,0.2206071927549393
PENK,2930,False,False,2930,0.09496573,92.92885413649967,3935.0,33.029152,0.4518107,0.2014117350763694
HOXD13,2939,False,False,2939,0.10954243,92.90713389323294,4539.0,32.86957,0.44962776,0.3949481080766293
MSX1,2506,False,False,2506,0.08456415,93.95211893039868,3504.0,32.747097,0.44795242,0.2817681739684823
KRT15,2911,False,False,2911,0.09646201,92.97470798339607,3997.0,32.64602,0.44656974,0.1896511654946465
PTN,13002,False,False,13002,0.47007433,68.62148856067188,19478.0,32.332424,0.44228002,0.1722754254264375
ALDH1A2,2041,False,False,2041,0.07503138,95.07433149917945,3109.0,32.135807,0.43959048,0.290669483598055
TBX15,2681,False,False,2681,0.07399363,93.52978086687904,3066.0,32.040966,0.43829313,0.1063362551071176
ACTC1,4379,False,False,4379,0.22275317,89.431894970557,9230.0,32.013584,0.43791854,0.4341404888963589
OTOR,2358,False,False,2358,0.07894102,94.30929626411816,3271.0,32.011158,0.4378854,0.2694715353788772
NR2F2,4790,False,False,4790,0.13748914,88.44000386137658,5697.0,31.66647,0.43317035,0.106810738839481
DCN,4866,False,False,4866,0.1426296,88.25658847379091,5910.0,31.350393,0.4288467,0.1118745532530599
CCND1,9192,False,False,9192,0.29865333,77.81639154358528,12375.0,31.280796,0.42789468,0.1185007878842901
EBF1,4622,False,False,4622,0.14110918,88.84544840235544,5847.0,31.256403,0.42756099,0.1501356823618638
NR2F1,4477,False,False,4477,0.13529298,89.195385654986,5606.0,30.976667,0.42373443,0.1623343176422189
IGF1,3518,False,False,3518,0.105077714,91.50979824307366,4354.0,30.894754,0.42261395,0.1389317130140251
ZFHX3,7900,False,False,7900,0.25793996,80.93445313254175,10688.0,30.776722,0.42099938,0.1453637809474686
IGFBP5,5873,False,False,5873,0.19051066,85.82633458828073,7894.0,30.653988,0.41932046,0.1376321754826875
TRPS1,4210,False,False,4210,0.12737717,89.83975287189882,5278.0,30.624899,0.41892254,0.1422521268878936
PEG3,14356,False,False,14356,0.53465587,65.35379862921131,22154.0,30.502186,0.41724393,0.1458263858707441
COL2A1,5620,False,False,5620,0.26052225,86.43691476011199,10795.0,30.455807,0.41660953,0.3435894084762131
HOXA10,1626,False,False,1626,0.046167582,96.07587604981175,1913.0,30.258436,0.41390964,0.1222888775930185
HOXA11OS,2577,False,False,2577,0.07413843,93.78077034462787,3072.0,30.10725,0.41184154,0.1726638977678559
VCAN,8872,False,False,8872,0.29949802,78.5886668597355,12410.0,29.74131,0.4068358,0.1351475024784786
COL3A1,17525,False,False,17525,0.76223576,57.705859638961286,31584.0,29.726192,0.406629,0.2389647205312224
CRYAA,5904,False,False,5904,0.9207694,85.75152041702867,38153.0,29.64422,0.4055077,0.5002614155942989
IGFBP4,18108,False,False,18108,0.686239,56.298870547350134,28435.0,29.4632,0.4030315,0.1072659366543211
CRABP1,8576,False,False,8576,0.273844,79.30302152717444,11347.0,29.24254,0.40001306,0.1252054017677704
OSR1,4277,False,False,4277,0.12687035,89.67805772757988,5257.0,29.199404,0.39942297,0.1402500184008667
PAX3,900,False,False,900,0.025292017,97.82797567332754,1048.0,29.157051,0.39884365,0.1101399512876719
TFAP2B,2617,False,False,2617,0.07833768,93.68423593010908,3246.0,29.076769,0.39774543,0.1470892647018594
PAX1,1497,False,False,1497,0.04387489,96.38719953663481,1818.0,29.040234,0.39724568,0.1898123088492338
SOX9,3819,False,False,3819,0.13683753,90.78337677381987,5670.0,28.902048,0.39535543,0.2906666657340142
NRP2,3935,False,False,3935,0.11465875,90.50342697171541,4751.0,28.809,0.3940826,0.12129352453065
DKK2,3970,False,False,3970,0.12001641,90.41895935901148,4973.0,28.562439,0.39070985,0.1314122186558281
APOE,6211,False,False,6211,0.23619558,85.01061878559706,9787.0,28.331343,0.38754866,0.2669764321293842
HOXA11,701,False,False,701,0.020392895,98.30823438555845,845.0,28.311024,0.38727066,0.1863379914529763
ALCAM,3784,False,False,3784,0.106163725,90.8678443865238,4399.0,28.252695,0.3864728,0.0594482220621723
HOXA9,1794,False,False,1794,0.04836374,95.6704315088329,2004.0,28.215683,0.3859665,0.0900691199957337
CDKN1C,27921,False,False,27921,1.8146298,32.61656530553142,75191.0,28.19715,0.38571298,0.2382680642763211
MEG3,13268,False,False,13268,0.54047203,67.97953470412202,22395.0,28.090755,0.3842576,0.1856570701513547
GAP43,7343,False,False,7343,0.23363742,82.27869485471571,9681.0,27.705048,0.37898147,0.1488308710947188
SFRP1,3782,False,False,3782,0.111135244,90.87267110724973,4605.0,27.633478,0.37800243,0.0971334584196439
EPHA4,4215,False,False,4215,0.120909356,89.82768607008398,5010.0,27.521872,0.37647578,0.0899342942870776
POSTN,4573,False,False,4573,0.13522059,88.96370306014094,5603.0,27.506693,0.37626815,0.1147044756274748
WNT5A,5251,False,False,5251,0.15474467,87.32744473404769,6412.0,27.47766,0.375871,0.1219920218001573
IGF2,29622,False,False,29622,2.1825225,28.51143932812048,90435.0,27.459663,0.3756248,0.2885976837085476
TWIST1,8859,False,False,8859,0.27927405,78.6200405444541,11572.0,27.294115,0.37336025,0.1261470867590778
COL9A3,2937,False,False,2937,0.11960614,92.91196061395888,4956.0,26.993065,0.36924213,0.349225080919004
NEFL,1474,False,False,1474,0.044309296,96.4427068249831,1836.0,26.951168,0.368669,0.1709451702226572
KRT5,4007,False,False,4007,0.16688387,90.32966502558162,6915.0,26.875216,0.36763006,0.3038284750965036
EBF3,2697,False,False,2697,0.07413843,93.49116710107153,3072.0,26.75303,0.3659587,0.0885270900648106
TCF4,16581,False,False,16581,0.66012645,59.9840718216044,27353.0,26.676943,0.36491784,0.1423003139426918
IGFBP3,4006,False,False,4006,0.1194372,90.3320783859446,4949.0,26.604687,0.36392945,0.1353797676537896
GPC3,14495,False,False,14495,0.49341154,65.01834153875856,20445.0,26.485989,0.3623058,0.088779827036599
FSTL1,17439,False,False,17439,0.67079353,57.91340863017667,27795.0,26.466135,0.3620342,0.1356574508123442
ANXA2,12844,False,False,12844,0.4354426,69.00279949802103,18043.0,26.465511,0.36202565,0.12328561875527
VIM,18963,False,False,18963,0.75067574,54.235447437011295,31105.0,26.277767,0.3594575,0.1236238368721504
EGFL6,2815,False,False,2815,0.07966503,93.20639057824114,3301.0,26.253025,0.35911903,0.1059054779513825
COL9A1,3408,False,False,3408,0.12083695,91.77526788300028,5007.0,26.158825,0.35783044,0.2979362136423225
FLRT2,3913,False,False,3913,0.108649485,90.55652089970074,4502.0,26.102076,0.35705417,0.0780170766779499
TBX18,2276,False,False,2276,0.06347138,94.50719181388165,2630.0,25.993975,0.35557544,0.0882042591787408
SULF1,3950,False,False,3950,0.11284873,90.46722656627088,4676.0,25.92655,0.35465315,0.0928075336636002
HBA-X,20156,False,False,20156,1.0613476,51.3563085239888,43978.0,25.915462,0.35450146,0.2203602020959113
TPM1,14509,False,False,14509,0.50608164,64.984554493677,20970.0,25.874668,0.35394344,0.0955204034696855
CCND2,17269,False,False,17269,0.6807848,58.323679891881454,28209.0,25.822937,0.35323578,0.1209846528246244
COL1A2,23773,False,False,23773,1.244401,42.62718409112849,51563.0,25.721832,0.35185277,0.257374469947241
TGFBI,4218,False,False,4218,0.12228497,89.82044598899508,5067.0,25.693396,0.35146376,0.104343417515264
MEST,14384,False,False,14384,0.5118013,65.28622453904818,21207.0,25.557804,0.34960902,0.1040954285215378
HAND2,1323,False,False,1323,0.034704123,96.80712423979149,1438.0,25.536528,0.34931797,0.0650753906746535
MYLPF,3458,False,False,3458,0.14429481,91.65459986485182,5979.0,25.476349,0.34849474,0.3385748930361821
BCL11B,3367,False,False,3367,0.09716189,91.87421565788203,4026.0,25.436535,0.34795016,0.1049459861979985
PITX2,1264,False,False,1264,0.03388358,96.94951250120668,1404.0,25.41469,0.3476513,0.0805287895847278
AFP,6190,False,False,6190,0.9345497,85.06129935321943,38724.0,25.412176,0.3476169,0.7949431414638837
KCTD12,3617,False,False,3617,0.102447145,91.27087556713968,4245.0,25.339478,0.3466225,0.08987228910164
MEIS2,3735,False,False,3735,0.107466936,90.9860990443093,4453.0,25.258307,0.34551212,0.0857209259002052
KRT14,2981,False,False,2981,0.10696013,92.80577275798822,4432.0,25.141277,0.34391126,0.2358346982990574
SOX11,14347,False,False,14347,0.51267016,65.37551887247804,21243.0,25.138954,0.34387952,0.1219293141987121
LHX9,1921,False,False,1921,0.058113717,95.3639347427358,2408.0,24.981073,0.3417198,0.1957768433804335
NFIB,10986,False,False,10986,0.35575345,73.48682305241819,14741.0,24.943823,0.34121025,0.0975959055946751
NREP,16510,False,False,16510,0.59303504,60.155420407375225,24573.0,24.920813,0.3408955,0.0967623839682929
NCAM1,7523,False,False,7523,0.22765228,81.84428998938121,9433.0,24.895609,0.34055072,0.0680142128161953
POU3F3,2844,False,False,2844,0.08017183,93.13640312771503,3322.0,24.761501,0.33871627,0.1196717072430659
LUM,3465,False,False,3465,0.09670335,91.63770634231103,4007.0,24.75997,0.33869532,0.0906172816572493
TMSB4X,17216,False,False,17216,0.61924416,58.451587991118835,25659.0,24.594145,0.33642697,0.0581322857277628
DPYSL3,4932,False,False,4932,0.13949223,88.09730668983494,5780.0,24.583754,0.33628485,0.0658188895638224
TSC22D1,12509,False,False,12509,0.4166908,69.8112752196158,17266.0,24.582092,0.33626208,0.0872956703021902
ALB,5453,False,False,5453,0.6696351,86.83994594072787,27747.0,24.574783,0.33616212,0.789321255588445
