Gene1,Gene2,BME,DEEI(1Express_2Silence),Prob(1E_2S),DEEI(1Silence_2Express),Prob(1S_2E)
CAMK2A,PLP1,0.4952969315854388,-0.0,1.0,1000.0,0.0
NRGN,MOBP,0.49061016836592575,163.11221407813034,7.722997991092807e-164,-0.0,1.0
MT-RNR2,THBS4,0.48684546847060983,1000.0,0.0,-0.0,1.0
MT-RNR2,MYOC,0.48586948038288225,1000.0,0.0,-0.0,1.0
MT-RNR2,VIP,0.48496421728137445,1000.0,0.0,-0.0,1.0
HPCA,PLP1,0.4848017703200431,-0.0,1.0,1000.0,0.0
MT-RNR2,CPLX3,0.4847662017868228,1000.0,0.0,-0.0,1.0
HPCA,MOBP,0.48475524982893875,1000.0,0.0,-0.0,1.0
MT-RNR2,CRHBP,0.48403069541954064,1000.0,0.0,-0.0,1.0
MT-RNR2,DLX1AS,0.483012250114176,1000.0,0.0,-0.0,1.0
MT-RNR2,SYT2,0.4823050231687332,1000.0,0.0,-0.0,1.0
CAMK2A,MOBP,0.48224459053382185,1000.0,0.0,-0.0,1.0
HPCA,MBP,0.48099662381265545,-0.0,1.0,1000.0,0.0
MT-RNR2,IGHM,0.48083397733455935,1000.0,0.0,-0.0,1.0
MT-RNR2,CBLN1,0.4803671990097608,1000.0,0.0,-0.0,1.0
MT-RNR2,TAC1,0.48028234848186535,1000.0,0.0,-0.0,1.0
MT-RNR2,GM28928,0.4798721855596666,1000.0,0.0,-0.0,1.0
MT-RNR2,ADGRF5,0.47987214551262874,1000.0,0.0,-0.0,1.0
MT-RNR2,TRBC2,0.47960342430411423,1000.0,0.0,-0.0,1.0
MT-RNR2,UNC13C,0.479546825585318,1000.0,0.0,-0.0,1.0
MT-RNR2,CCDC153,0.47871235272511503,1000.0,0.0,-0.0,1.0
MYL4,MT-RNR2,0.47868402072205923,-0.0,1.0,1000.0,0.0
MT-RNR2,VTN,0.478669865177958,1000.0,0.0,-0.0,1.0
MT-RNR2,STAC2,0.4786132639120823,1000.0,0.0,-0.0,1.0
MT-RNR2,CUX2,0.4785001123957918,1000.0,0.0,-0.0,1.0
MT-RNR2,LRRC10B,0.47847183978659164,1000.0,0.0,-0.0,1.0
MT-RNR2,ZFPM2,0.47773635462112035,1000.0,0.0,-0.0,1.0
MT-RNR2,SPINK8,0.477693893787877,1000.0,0.0,-0.0,1.0
