,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,imp_sumup,imp_sumup_norm
0610007P14RIK,806,False,False,806,0.04084025,96.22075303605759,871.0,0.083589405,0.079249114
0610009B22RIK,587,False,False,587,0.029352464,97.24762038730248,626.0,0.020237032,0.019186247
0610009E02RIK,30,False,False,30,0.0014066676,99.8593332395555,30.0,0.0035405292,0.003356691
0610009L18RIK,164,False,False,164,0.007924227,99.23102170957003,169.0,0.01930359,0.018301273
0610009O20RIK,263,False,False,263,0.012800675,98.76682140010315,273.0,0.008429393,0.007991706
0610010F05RIK,899,False,False,899,0.050546255,95.7846860786796,1078.0,0.02960003,0.02806308
0610010K14RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0022612552,0.0021438417
0610011F06RIK,672,False,False,672,0.034369577,96.84906456604304,733.0,0.05839087,0.055358987
0610025J13RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0022103305,0.0020955615
0610030E20RIK,183,False,False,183,0.009330895,99.14193276128852,199.0,0.014000263,0.013273314
0610037L13RIK,681,False,False,681,0.033713132,96.80686453790969,719.0,0.029992644,0.028435308
0610038B21RIK,10,False,False,10,0.0004688892,99.95311107985184,10.0,0.0025598637,0.0024269454
0610040B10RIK,98,False,False,98,0.0048295585,99.54048858254795,103.0,0.0061815623,0.005860591
0610040F04RIK,90,False,False,90,0.004642003,99.57799971866648,99.0,0.0039182613,0.0037148097
0610040J01RIK,75,False,False,75,0.004032447,99.64833309888873,86.0,0.01035461,0.009816959
0610043K17RIK,292,False,False,292,0.014957566,98.63084353167346,319.0,0.045012854,0.042675607
1010001B22RIK,8,False,False,8,0.00037511135,99.96248886388146,8.0,0.0023988555,0.0022742974
1110001J03RIK,1082,False,False,1082,0.054578703,94.92661883996811,1164.0,0.073890425,0.07005374
1110002E22RIK,27,False,False,27,0.0013128897,99.87339991559995,28.0,0.002947441,0.0027943985
1110002J07RIK,6,False,False,6,0.00028133352,99.9718666479111,6.0,0.0022944377,0.0021753018
1110002L01RIK,106,False,False,106,0.005064003,99.50297744642941,108.0,0.005983478,0.0056727924
1110002O04RIK,13,False,False,13,0.00065644487,99.93904440380737,14.0,0.0025823575,0.0024482713
