gene,pearson_r,p,percent_cell,imp_sumup_norm
UBE2V1,0.8961692673677553,0.0,0.0003677614642564146,0.0021003021
HPCA,0.4251497068212304,0.0,0.4176355766782653,0.8096857
NRGN,0.3711619410863508,0.0,0.377210104953464,0.6938139
PCP4,0.35852029037786454,4e-323,0.5594500551642196,1.0562468
IL1B,0.3286294372375642,9.117640687979345e-269,0.0003960508076607542,0.0019684092
C1QL2,0.31903535325666676,1.4284279709265616e-252,0.031627485926051656,0.2039193
ANXA8,0.31662056985334647,1.3751538908647982e-248,0.0007638122719171688,0.0028300954
SPINK8,0.2942572871260467,1.9843287400557546e-213,0.02517751562986223,0.17149109
CRYM,0.2939556219184207,5.634542589751809e-213,0.09202523409431668,0.77589476
WIPF3,0.28418769842901825,1.3503486494279294e-198,0.14003224985148094,0.47850266
PRKCD,0.28020842385735967,6.682053947761832e-193,0.10155874282157912,0.49128097
NEUROD6,0.2776838612908706,2.4492083316317097e-189,0.09055418823729101,0.22235982
PPP3CA,0.2735006047377719,1.6303532624039185e-183,0.45183739285411184,0.44804594
CPNE6,0.2643730002885165,3.664177022789952e-171,0.11745735381481796,0.3435135
PLP1,0.2617875166989479,9.44465404729055e-168,0.5477948456816317,0.4682105
MBP,0.2611582037796638,6.304851002943643e-167,0.589974256697502,0.68421525
MYH4,0.2568296708875201,2.5663007594681453e-161,0.00031118277744773544,0.002122649
GM15903,0.2567600317633995,3.1527110713470235e-161,8.486803021301876e-05,0.0019591558
LRRK1,0.245837635427188,1.5037660380211352e-147,0.0019519646948994314,0.005152033
SNCA,0.2430762097294562,3.3828940174798533e-144,0.22173187360321367,0.5201669
CCDC153,0.24307565992726787,3.3880636809912575e-144,0.023480155025601857,0.52214205
PTK2B,0.22655240516727176,5.08302771562645e-125,0.17842088885116977,0.39340955
CHGB,0.22462861069048823,6.944344747826475e-123,0.2702480975416561,0.4253196
OLFM1,0.2163654221209685,6.1177896401202516e-114,0.4691504710175677,0.5410255
TNNT1,0.2161069334261223,1.1494314897353495e-113,0.07742793289767745,0.5944493
RNF125,0.21528374998157612,8.517712703694236e-113,0.0007072335851084896,0.002864351
CHN1,0.215127022068579,1.2460131700628607e-112,0.339387252821862,0.4563005
CCDC170,0.21500404585258065,1.6790131633171362e-112,0.0016690712608560356,0.002819581
GRIA1,0.21472598819737435,3.29332971460442e-112,0.24888964327137966,0.6961892
A830073O21RIK,0.21364394628184347,4.490123522294797e-111,0.0024328835327732043,0.0033345232
MAL,0.21346990868583982,6.826041056134849e-111,0.1963846219129254,0.33827174
CAMK2B,0.21090593073227212,3.1289891639157268e-108,0.3120031684064613,0.48638764
2010300C02RIK,0.2108905959411674,3.2450031870723055e-108,0.10583043367563438,0.36223945
ENC1,0.20862880841604484,6.753897940029732e-106,0.18554980338906335,0.30589846
NPTXR,0.20861288614450507,7.010976743614972e-106,0.10795213443095986,0.330415
FIBCD1,0.20622622835034876,1.8300619065154017e-103,0.033579450620951086,0.18139201
CPLX2,0.205832358789657,4.553978464789386e-103,0.24549492206285892,0.5194678
HS3ST4,0.20562147146770138,7.413813059833559e-103,0.09114826444878214,0.56483823
SNAP25,0.2048644566745228,4.2448253375788466e-102,0.6012334153724292,0.46989423
MOBP,0.20453123673205437,9.130061209853307e-102,0.3340122775750375,0.5590289
GRIA2,0.20437397419673295,1.3099252821998005e-101,0.256329740586721,0.30649653
CAMK2A,0.20361032236812585,7.527738897918933e-101,0.44561373730515713,0.64736706
DDN,0.20287444168888685,4.0323237031952953e-100,0.25474553735607797,0.8841494
CNP,0.20136298742032754,1.2408138963408922e-98,0.23641404283006592,0.35021055
ITPKA,0.19989785807838406,3.3479488942937487e-97,0.09906928060199723,0.26427618
NPTX1,0.19771598294759335,4.3157389566997954e-95,0.08495289824323178,0.25332633
BOLL,0.19498244155201855,1.7527835454254873e-92,0.0005940762114911313,0.002465059
FAM216B,0.19123526511137684,5.706877079260544e-89,0.003366431865116411,0.003526424
EPHA7,0.1899245433755162,9.286591009440593e-88,0.07609833375767348,0.2834932
PRKCB,0.18861301545897724,1.4829968940069563e-86,0.2589323601799202,0.46688595
SYN2,0.18734681022323899,2.110524441670475e-85,0.24238309428838156,0.38383698
GABRA5,0.18262879777263594,3.5368654017473954e-81,0.06998783558233614,0.2055643
BCL11B,0.1824110206334406,5.50597662697652e-81,0.06130300715720388,0.19920479
FAM131A,0.18129922127017206,5.228037289734497e-80,0.1555065206936547,0.26992524
PPP3R1,0.18106105779002324,8.451006164496771e-80,0.27381255481060285,0.44672027
RTN1,0.178462483197656,1.526453781533071e-77,0.3610286005261818,0.38678604
DKK3,0.17720760367997151,1.8244070840135032e-76,0.13428951314040002,0.34455177
CCDC146,0.17696444323051289,2.944202350223711e-76,0.0047243203485247106,0.0033608472
NCDN,0.1764533996476605,8.031688836050192e-76,0.45526040340603696,0.41218394
MEF2C,0.17569986870549426,3.5076490314817966e-75,0.19522475883334747,0.5045805
PCP4L1,0.1754179286539733,6.078701870133713e-75,0.1923958244929135,0.40210724
AI481877,0.17429094322333202,5.423558946593217e-74,0.0003677614642564146,0.0023879604
GM10076,0.17405874504451346,8.49788070839535e-74,0.00048091883787377296,0.002801154
FAM163B,0.17046958862793704,8.109569379044577e-71,0.05442869670994936,0.26057544
ATP2B1,0.1699851011227732,2.0239607543689904e-70,0.28807038388639,0.49477863
CALM2,0.16713550550135278,4.152921115273181e-68,0.6231576565107924,0.44282547
CAMK2N1,0.16660366880314098,1.1100271112654033e-67,0.5676256754080737,0.66950774
ZIC1,0.16653252655025774,1.26572989284625e-67,0.1295651927918753,0.45209226
NEUROD2,0.16461498314181275,4.258640268728759e-66,0.09321338651729894,0.25884527
WASF1,0.16370546637479436,2.2234555593681593e-65,0.13960790970041587,0.15725821
3110035E14RIK,0.16354572743453727,2.9693281963674577e-65,0.11335539902118871,0.5355871
WFS1,0.16187353184773137,6.026655606610476e-64,0.041755070864805226,0.19254112
CLDN11,0.1618176177503149,6.661163811190423e-64,0.13957962035701152,0.25361097
NCALD,0.16161809130478608,9.518218462513379e-64,0.2896262977736287,0.47018465
RBFOX1,0.1600284671249318,1.6081863134445549e-62,0.2361877280828312,0.4281602
ASGR1,0.15934561240149608,5.368564601781632e-62,0.0014144671702169792,0.0028226427
SLC17A7,0.15929098450412013,5.910694280637385e-62,0.18161758465586014,0.33835378
SPARC,0.15924446792183816,6.415098715315324e-62,0.2674191632012221,0.67715347
PRKCE,0.15894724681433817,1.0819105218356296e-61,0.17909983309287392,0.2962985
RORA,0.1558383889655716,2.409385475080075e-59,0.16806698916518148,0.33903578
ST6GALNAC5,0.15580017617228878,2.573134938715931e-59,0.12636849698718491,0.31412914
LPPR4,0.1543699878013569,2.9784528607976304e-58,0.12761322809697587,0.13322261
ARF3,0.1534850132535566,1.3395792977704073e-57,0.40131262553396135,0.3632934
BMP5,0.1534240939729393,1.485162391023682e-57,0.0010184163625562251,0.0032263268
PDE1A,0.15315053660191594,2.35908997347351e-57,0.11281790149650626,0.37252238
ATP1B1,0.1529970396072587,3.057374124878487e-57,0.48329514271973745,0.35260975
IQGAP2,0.1518854685862091,1.9828229398337266e-56,0.044725451922260885,0.07132843
PRRG4,0.1508190724441607,1.1760867246395402e-55,0.0009901270191518855,0.0023232326
BHLHE22,0.1503746911437691,2.460103234642778e-55,0.03284392769243826,0.12751733
TMSB4X,0.15035709823014887,2.532924067397045e-55,0.6155195337916207,0.4437678
AK5,0.150306617464219,2.7540089559823085e-55,0.060086565390817276,0.13288604
HPCAL4,0.1474178599621882,3.152195530329841e-53,0.18297547313926843,0.74629176
GPM6A,0.14594414452123616,3.411135018857766e-52,0.38258508020028853,0.3496934
GRIN2A,0.14566638996818537,5.328787295390176e-52,0.11188435316416306,0.1403737
DLGAP1,0.1447373986083052,2.3540270890652565e-51,0.2671928484539874,0.4176597
CAMKV,0.14441761314500295,3.916645933765539e-51,0.19997736852527653,0.35419908
NNAT,0.14418104560941036,5.703666224962857e-51,0.1394098842965855,0.61055696
LMO4,0.14391540715787146,8.692088271706654e-51,0.20068460211038502,0.5693714
RASGRP1,0.14350940495057202,1.6523500072029622e-50,0.18803926560864523,0.31768584
ZBTB20,0.14241279375533572,9.28008274443085e-50,0.15632691165238055,0.3760288
