g,imp_sumup_norm,I,LLR,n_cells_by_counts_norm
AFP,0.74039716,0.8195923883272238,26353.66223501476,0.14930203352171184
ALB,0.7274516,0.8193761422106072,25036.94931549352,0.1315268318601169
GJA8,0.32566768,0.6434644383306467,17352.002093332354,0.03318359658020577
CRYBA1,1.4654274,0.6048926532966923,17288.37494216782,0.1392068782302082
ALDH1A1,1.2962936,0.5830084194081063,13961.005189624168,0.05929092402067333
CRYBB1,0.38721523,0.5763555089601554,16004.334790625431,0.07440950586871468
CRYGN,0.361252,0.5733198651389838,15003.985610362515,0.04692556634304207
CRYBA4,0.37956128,0.5702964741846044,14932.910355630596,0.05240786359464812
CRYBA2,0.3242637,0.5701885512509931,14909.474440600585,0.04637009129111723
CRYGE,0.369683,0.5671026511073672,15134.346023475811,0.058880355504033234
CRYGA,0.29412672,0.5634078870176974,14540.2159588495,0.05738298797275757
CAPN3,0.23804623,0.5606993870567624,14013.462906175137,0.03482587064676617
MIP,0.45054615,0.5584654541781976,14303.5088622499,0.044558759600057965
RBP4,0.12543684,0.556786200846367,11449.892765971828,0.08443220789257595
CRYGD,0.25438738,0.5550512045202798,14311.97897911766,0.04559725643626528
CRYGB,0.21886005,0.5500462292636197,13481.72111193628,0.03745833937110564
CRYBB3,1.0426579,0.5484191812133825,15289.570472176762,0.17053084094092644
CRYGF,0.15357469,0.544497068230806,12492.910465300116,0.024295995749408297
SERPINA6,0.08908886,0.5432387554119631,10720.934980589216,0.07735593875283775
CRYAA,0.78471136,0.5423716875246093,15229.640815426375,0.14234651982804425
HBB-BT,0.7874249,0.5423090527721327,14675.27325222308,0.49968603584021637
HBB-BS,0.8036153,0.5421641642326375,14634.908519484365,0.5624064145292953
ACTC1,1.300761,0.5363348425245708,10938.339166236265,0.10561271313336232
APOA1,0.08949583,0.5297631048048929,10477.848527816315,0.0769936724146259
CRYGC,0.15837026,0.5271715454923028,12161.034989721964,0.02919866685987538
CAR2,0.19861534,0.5259255165171578,11466.54918331367,0.10314930203352171
TRF,0.16126691,0.5233374236532438,10438.904928003283,0.07998840747717723
AMBP,0.21594684,0.5214339740289413,10132.344805727877,0.07670385934405642
APOA2,0.088276826,0.5165397677101424,9926.51567312245,0.07382987972757571
LIM2,0.30190113,0.5125965053605728,11835.996671014378,0.02941602666280249
HBB-Y,1.0242932,0.461877455044422,8112.399615246024,0.845795295367821
MYH3,0.5408161,0.4406532321378737,7438.427803140963,0.058010916292324785
HBA-A1,0.82530314,0.4389583135117743,9857.799593984106,0.462662416074965
MYLPF,0.6982938,0.4381060584288124,7893.773317393094,0.08336955996715452
COL9A3,0.77751255,0.4348981200673055,8187.5107940568305,0.07076269139738202
HOXD13,1.1172057,0.4275732709037833,8153.204761096133,0.07088344684345264
KRT5,0.8755544,0.4184061020694576,7295.054035199388,0.09660435685649423
COL2A1,1.0819298,0.4113893242850809,8430.134405269197,0.13558421484808966
ITIH2,0.09079852,0.4085374930834401,7065.622582972323,0.05892865768246148
ACTA1,0.50448984,0.3829754477559736,6130.110527877841,0.05571656281698305
PMEL,0.35027486,0.3820032489579809,5882.90575297489,0.03190358885185722
ALDH1A2,0.8802522,0.3776524068690279,6566.575179957386,0.049195768729169684
H19,0.7449031,0.375579051717584,7731.829575651223,0.8389122349417959
CPOX,0.1215708,0.3717443438400789,6835.820052160332,0.07428875042264406
SLC25A37,0.18835509,0.3656356675724596,6824.92891796691,0.10097570400425059
TTR,0.044227216,0.3541236147964677,5845.7397239841775,0.05091049606337246
TNNT1,0.79520404,0.3507568840129308,6004.155754739084,0.08059218470753031
COL9A1,0.8844189,0.3471451952019199,5926.368575839861,0.08216200550644834
TRPM1,0.2069387,0.3443131178005057,4540.4871685872495,0.019997101869294306
IGF2,0.95949584,0.3404707238317798,6290.738158920489,0.7149688450949138
SOX9,0.98611623,0.3395679525717157,6040.372817113312,0.0921605564410955
APOC2,0.03741201,0.3395063373574418,5466.237841334485,0.04861614258803072
DLK1,1.2517905,0.334694774617579,5892.8260169901005,0.2666521760131382
SLC4A1,0.20253958,0.3340911498430415,5780.318237767293,0.0871371298845578
MSX1,1.0248656,0.3335174781935702,5516.901513535035,0.06045017630295126
KRT17,0.43977645,0.3306962937093943,5183.122829107306,0.020673332367289764
HBA-X,0.98073226,0.3295197066467086,4647.93051096618,0.48640293677244845
KRT14,0.61851615,0.3282591068364577,5156.902547389489,0.07177703714437521
GPX1,0.3369442,0.3245160980091521,7461.325359379189,0.3086750712457132
BLVRB,0.10032413,0.3244023061155539,5893.299763566138,0.0845771144278607
IGFBP7,0.15787762,0.3165290122882391,5845.18566259838,0.03542964787711926
GYPA,0.11091074,0.3163225870589224,5081.489468599573,0.046563300004830215
MT1,0.06753072,0.3153462862348087,5361.321446475977,0.06144037096073033
WWP2,0.4743702,0.3089232671102029,5137.967991224476,0.1005651354876105
APOE,0.67644346,0.3080763794191492,5454.802098177759,0.14980920639520842
MGARP,0.18898834,0.3019405925363456,5215.799591511464,0.026059025262039317
ALAD,0.18344854,0.3017378129725485,5569.040236166435,0.1290634207602763
COL1A2,0.7026612,0.3016012049038286,4622.230222863735,0.5737574264599333
MYL4,0.36968356,0.2998488608633533,4680.118165524793,0.04740858812732454
CXCL14,1.4982424,0.2997976383098803,4596.738325539602,0.1994155436410182
TPM2,0.6399086,0.2986581591328042,5284.170250625091,0.1318407960199005
OTOR,0.7570883,0.296463967940987,4693.54693288379,0.056803361831618604
TNNC1,0.37643978,0.2960065911741242,4668.377090953463,0.04813312080374825
TNNI1,0.27061424,0.2937173047923918,4443.239889324559,0.043399507317780035
MT2,0.052239288,0.2874902814254721,4696.0348587616245,0.05395353330435203
PAX6,0.28123432,0.286105797974364,4549.62031648399,0.026228082886538183
COL9A2,0.6328937,0.2860659984860679,5120.8336326670615,0.06750229435347534
COL3A1,0.822512,0.2824083199341696,4555.912593744564,0.42286142105008934
KRT15,0.8659124,0.2811009325159882,3739.942989384026,0.07013476307781481
TTN,0.06927674,0.2787572795190386,3584.5786132786543,0.03272472588513742
CDKN1C,0.8528091,0.2785779871402953,5245.722118270613,0.673960295609332
ACTA2,0.514082,0.2701458687531202,4217.672508908336,0.06803361831618605
SFRP2,1.280098,0.2689248867911732,4269.570723433186,0.18514224991547118
BARX1,0.96287596,0.2686539931388214,4357.267101367139,0.06829928029754143
SERPINF2,0.03679748,0.2654509618802357,4264.462311613315,0.03907646234845191
VAX2,0.14644493,0.2648818763758025,3952.928968632543,0.00685890933681109
PPBP,0.06595136,0.2591894288893335,2139.7781192467373,0.013114041443269091
ACTN2,0.0806576,0.2564619114563109,3491.1260519742136,0.028570738540308168
KLF1,0.0496908,0.2545412799704613,3973.6615968414735,0.036371540356470076
PLA2G7,0.013185918,0.2518469204791076,4121.802426829043,0.011423465198280443
PRRX1,1.1828709,0.2516712452857015,3714.316453687927,0.3091097908515674
PAX9,0.42762765,0.2508677184030203,3588.860155820301,0.013258947978553834
GRIFIN,0.012216369,0.2472416765286843,3890.4975682886543,0.010336666183644882
FGF15,0.15593408,0.2442735610053817,3861.6866004991534,0.009177413901366952
LHX9,0.77768105,0.2377267294967837,3327.455323556156,0.046321789112688985
APOM,0.04224369,0.2361468719939314,3438.486362438194,0.03482587064676617
PENK,0.69748324,0.2345306337084629,3675.8081708863065,0.07064193595131141
MALAT1,0.5885321,0.233955908610678,3526.631385741741,0.8328986137274791
ERMAP,0.029766748,0.2327735980215899,3713.14521267682,0.04083949186108293
ZIC1,0.10965813,0.2322911983271016,3843.30536991682,0.015915567792107423
