g,imp_sumup_norm,I,LLR,n_cells_by_counts_norm
TBX5,2.1157017,0.1758012348271182,2562.478512582238,0.03332850311549051
PITX1,1.6207812,0.0976987216420174,1246.7220343281806,0.029633386465729605
CXCL14,1.4982424,0.2997976383098803,4596.738325539602,0.1994155436410182
CRYBA1,1.4654274,0.6048926532966923,17288.37494216782,0.1392068782302082
SHOX2,1.4330119,0.1887109093675673,2680.706218486641,0.08390088392986524
ACTC1,1.300761,0.5363348425245708,10938.339166236265,0.10561271313336232
ALDH1A1,1.2962936,0.5830084194081063,13961.005189624168,0.05929092402067333
SFRP2,1.280098,0.2689248867911732,4269.570723433186,0.18514224991547118
DLK1,1.2517905,0.334694774617579,5892.8260169901005,0.2666521760131382
PRRX1,1.1828709,0.2516712452857015,3714.316453687927,0.3091097908515674
EBF1,1.1232356,0.175066150237739,2534.518454551635,0.1114331256339661
TRPS1,1.1219746,0.1748976980501299,2344.439068579901,0.10153117905617544
HOXD13,1.1172057,0.4275732709037833,8153.204761096133,0.07088344684345264
VCAN,1.1035688,0.1698689156085802,2522.72347442765,0.21402695261556295
NRP2,1.0825182,0.1414101984908492,1873.312282294366,0.09491378061150559
COL2A1,1.0819298,0.4113893242850809,8430.134405269197,0.13558421484808966
OSR1,1.0632346,0.1556854170057333,2246.615529864372,0.10317345312273583
HMGA2,1.0540257,0.124166128206796,1828.7983715608132,0.2562672076510651
CRYBB3,1.0426579,0.5484191812133825,15289.570472176762,0.17053084094092644
MSX1,1.0248656,0.3335174781935702,5516.901513535035,0.06045017630295126
HBB-Y,1.0242932,0.461877455044422,8112.399615246024,0.845795295367821
NR2F2,1.0109259,0.1263735839087759,1581.672871575909,0.11549050862193885
IGFBP5,0.9905078,0.2134974705661808,2599.718155926028,0.14164613824083466
GAP43,0.98961544,0.1734906850483167,2399.2430964634696,0.17709993720716805
SOX9,0.98611623,0.3395679525717157,6040.372817113312,0.0921605564410955
HBA-X,0.98073226,0.3295197066467086,4647.93051096618,0.48640293677244845
TBX15,0.9790333,0.1225593035322397,1627.7340533327588,0.064700768004637
BARX1,0.96287596,0.2686539931388214,4357.267101367139,0.06829928029754143
IGF2,0.95949584,0.3404707238317798,6290.738158920489,0.7149688450949138
PTN,0.9503574,0.2054194452914448,2979.2010768880937,0.3137467999806791
CRABP1,0.9414228,0.1574603568712762,2157.19028484137,0.20685407911896828
HOXA10,0.9079742,0.1271459762938658,1855.4572775946945,0.03922136888373666
DCN,0.9076755,0.1337013742133751,1737.2391080995149,0.11732599140221224
ALCAM,0.90157163,0.081708861146507,806.1297052617156,0.09119451287253055
NR2F1,0.89442974,0.1776840906264816,2590.3154963663583,0.1079553687871323
COL9A1,0.8844189,0.3471451952019199,5926.368575839861,0.08216200550644834
PEG3,0.8815792,0.1749751238654256,2697.3553960880454,0.3464956769550307
ALDH1A2,0.8802522,0.3776524068690279,6566.575179957386,0.049195768729169684
KRT5,0.8755544,0.4184061020694576,7295.054035199388,0.09660435685649423
IGF1,0.86933833,0.1689467487074735,2245.647997239623,0.08486692749843018
KRT15,0.8659124,0.2811009325159882,3739.942989384026,0.07013476307781481
NCAM1,0.8640938,0.0840082642484359,929.9919527368766,0.18151958653335265
ZFHX3,0.8586362,0.1763416573227997,2429.8023649129245,0.1906728493455055
HOXA9,0.8560437,0.0954594806022199,1260.2946007233186,0.043230449693281166
CDKN1C,0.8528091,0.2785779871402953,5245.722118270613,0.673960295609332
TGFBI,0.8474022,0.1291346441420355,1715.0824207291223,0.1017968410375308
POSTN,0.8452366,0.1556288414479744,1847.633427714896,0.11024972226247404
HBA-A1,0.82530314,0.4389583135117743,9857.799593984106,0.462662416074965
COL3A1,0.822512,0.2824083199341696,4555.912593744564,0.42286142105008934
HBB-BS,0.8036153,0.5421641642326375,14634.908519484365,0.5624064145292953
TNNT1,0.79520404,0.3507568840129308,6004.155754739084,0.08059218470753031
MEG3,0.794131,0.2234954093831904,3271.12216523452,0.3201951408008501
HOXC10,0.79387134,0.0852155121401366,865.7798747907073,0.004298893880113993
HBB-BT,0.7874249,0.5423090527721327,14675.27325222308,0.49968603584021637
CRYAA,0.78471136,0.5423716875246093,15229.640815426375,0.14234651982804425
LHX9,0.77768105,0.2377267294967837,3327.455323556156,0.046321789112688985
COL9A3,0.77751255,0.4348981200673055,8187.5107940568305,0.07076269139738202
MEIS2,0.7741641,0.1174459257674874,1467.3769047099777,0.09008356276868086
EPHA4,0.76978004,0.107803442887489,1299.910217644814,0.10167608559146017
EPHA3,0.768788,0.0942924881517211,1143.158624015441,0.04704632178911269
DKK2,0.76161337,0.170060453864867,2196.452748265543,0.0957590687339999
OTOR,0.7570883,0.296463967940987,4693.54693288379,0.056803361831618604
H19,0.7449031,0.375579051717584,7731.829575651223,0.8389122349417959
AFP,0.74039716,0.8195923883272238,26353.66223501476,0.14930203352171184
IGFBP4,0.735958,0.1342908941953149,1663.4918466127565,0.4370381104187799
POU3F3,0.73270625,0.1270715785227567,1843.3232971500984,0.06854079118968265
ALB,0.7274516,0.8193761422106072,25036.94931549352,0.1315268318601169
HOXA11,0.7272813,0.2030879945657521,2970.014544499744,0.016929913539100613
CCND1,0.72576255,0.1460738617971553,2111.4110261532696,0.22182775443172487
TBX18,0.7191264,0.1128990807954455,1412.6349909714245,0.0548471236052746
TWIST1,0.7136079,0.162201164546404,2119.054813181137,0.2137371395449935
LMX1B,0.71154743,0.0973475178606611,975.8908429346048,0.012123846785490026
IGFBP3,0.7109422,0.1546086976054881,2177.936942014137,0.09662850794570835
COL1A1,0.7095853,0.1460751480466921,1815.4267087580736,0.23571463072984591
WNT5A,0.7076663,0.141794461069937,1788.76494071263,0.12672076510650632
ANXA2,0.70503753,0.1412734615175007,2077.9468585557697,0.30988262570641933
