g,imp_sumup_norm,I,LLR,n_cells_by_counts_norm
KRT75,0.0025896719,-6.899149521034649e-05,837251.1440554013,7.245326764237067e-05
1810012K16RIK,0.0025970032,-9.00999708744553e-05,837251.1440554013,9.660435685649422e-05
DTHD1,0.002416335,-7.685932078329624e-05,837251.1440554013,7.245326764237067e-05
GM15963,0.0024623584,-6.810889610075563e-05,837251.1440554013,7.245326764237067e-05
RP24-333I1.6,0.0023947891,-7.568762723910363e-05,837251.1440554013,7.245326764237067e-05
FHL5,0.0024281838,-7.117616842580539e-05,837251.1440554013,7.245326764237067e-05
SNORD69,0.0023166223,-7.341880176191587e-05,837251.1440554013,7.245326764237067e-05
H2-Q2,0.002555538,-7.618569844672022e-05,837251.1440554013,7.245326764237067e-05
ADGRF1,0.0024939459,-6.115800198486175e-05,837251.1440554013,7.245326764237067e-05
CYP2J5,0.002512618,-7.211496176574869e-05,837251.1440554013,7.245326764237067e-05
GM26873,0.002476015,-7.609357750769578e-05,837251.1440554013,7.245326764237067e-05
GIMAP1OS,0.0024041873,-7.221907698919676e-05,837251.1440554013,7.245326764237067e-05
HOTAIR,0.0024631887,-7.15766743047863e-05,837251.1440554013,7.245326764237067e-05
A130030D18RIK,0.0028800452,-6.903690315983565e-05,837251.1440554013,7.245326764237067e-05
GM13256,0.002438188,-6.504162449759013e-05,837251.1440554013,7.245326764237067e-05
CYP2C29,0.0025111635,-7.00908402343981e-05,837251.1440554013,7.245326764237067e-05
2010005H15RIK,0.00247395,-7.165547578673415e-05,837251.1440554013,7.245326764237067e-05
GM37082,0.0024309494,-6.603365971902933e-05,837251.1440554013,7.245326764237067e-05
GM29123,0.0025763684,-6.237946293510127e-05,837251.1440554013,7.245326764237067e-05
CXCL17,0.0023878787,-7.349199700182166e-05,837251.1440554013,7.245326764237067e-05
GM20715,0.0029161312,-0.0001275149221206,115536.08935752048,0.00012075544607061779
GM37035,0.0026847615,-9.249282432305568e-05,107229.12090208176,9.660435685649422e-05
RP23-447N11.2,0.002626117,-6.891617604940748e-05,95854.86742251084,7.245326764237067e-05
AFP,0.74039716,0.8195923883272238,26353.66223501476,0.14930203352171184
ALB,0.7274516,0.8193761422106072,25036.94931549352,0.1315268318601169
GJA8,0.32566768,0.6434644383306467,17352.002093332354,0.03318359658020577
CRYBA1,1.4654274,0.6048926532966923,17288.37494216782,0.1392068782302082
CRYBB1,0.38721523,0.5763555089601554,16004.334790625431,0.07440950586871468
CRYBB3,1.0426579,0.5484191812133825,15289.570472176762,0.17053084094092644
CRYAA,0.78471136,0.5423716875246093,15229.640815426375,0.14234651982804425
CRYGE,0.369683,0.5671026511073672,15134.346023475811,0.058880355504033234
CRYGN,0.361252,0.5733198651389838,15003.985610362515,0.04692556634304207
CRYBA4,0.37956128,0.5702964741846044,14932.910355630596,0.05240786359464812
CRYBA2,0.3242637,0.5701885512509931,14909.474440600585,0.04637009129111723
HBB-BT,0.7874249,0.5423090527721327,14675.27325222308,0.49968603584021637
HBB-BS,0.8036153,0.5421641642326375,14634.908519484365,0.5624064145292953
SNORA41,0.0024373874,-9.250989766206376e-05,14589.926043260464,9.660435685649422e-05
CRYGA,0.29412672,0.5634078870176974,14540.2159588495,0.05738298797275757
CRYGD,0.25438738,0.5550512045202798,14311.97897911766,0.04559725643626528
MIP,0.45054615,0.5584654541781976,14303.5088622499,0.044558759600057965
CAPN3,0.23804623,0.5606993870567624,14013.462906175137,0.03482587064676617
ALDH1A1,1.2962936,0.5830084194081063,13961.005189624168,0.05929092402067333
CRYGB,0.21886005,0.5500462292636197,13481.72111193628,0.03745833937110564
RP24-169J24.1,0.0028337478,-0.0001130447064652,13146.855694813188,9.660435685649422e-05
CRYGF,0.15357469,0.544497068230806,12492.910465300116,0.024295995749408297
AOC1,0.0024903477,-6.99140334973367e-05,12165.901784161875,7.245326764237067e-05
CRYGC,0.15837026,0.5271715454923028,12161.034989721964,0.02919866685987538
LIM2,0.30190113,0.5125965053605728,11835.996671014378,0.02941602666280249
CAR2,0.19861534,0.5259255165171578,11466.54918331367,0.10314930203352171
RBP4,0.12543684,0.556786200846367,11449.892765971828,0.08443220789257595
ACTC1,1.300761,0.5363348425245708,10938.339166236265,0.10561271313336232
SERPINA6,0.08908886,0.5432387554119631,10720.934980589216,0.07735593875283775
IQCF3,0.0025201766,-9.679233248189448e-05,10691.637598959993,9.660435685649422e-05
APOA1,0.08949583,0.5297631048048929,10477.848527816315,0.0769936724146259
TRF,0.16126691,0.5233374236532438,10438.904928003283,0.07998840747717723
AMBP,0.21594684,0.5214339740289413,10132.344805727877,0.07670385934405642
SCGB3A1,0.0026939425,-7.563682819143734e-05,10054.190748113717,7.245326764237067e-05
TMEM171,0.0027664567,-6.943301769292849e-05,9931.76645866128,7.245326764237067e-05
APOA2,0.088276826,0.5165397677101424,9926.51567312245,0.07382987972757571
HBA-A1,0.82530314,0.4389583135117743,9857.799593984106,0.462662416074965
HAS1,0.0026451608,-0.0001008786438657,9722.39983775682,9.660435685649422e-05
LHX1OS,0.0024487039,-7.676875294874031e-05,9226.55702559586,7.245326764237067e-05
GM6578,0.00256423,-8.894805078856334e-05,8770.017108929474,9.660435685649422e-05
COL2A1,1.0819298,0.4113893242850809,8430.134405269197,0.13558421484808966
COL9A3,0.77751255,0.4348981200673055,8187.5107940568305,0.07076269139738202
HOXD13,1.1172057,0.4275732709037833,8153.204761096133,0.07088344684345264
HBB-Y,1.0242932,0.461877455044422,8112.399615246024,0.845795295367821
MYLPF,0.6982938,0.4381060584288124,7893.773317393094,0.08336955996715452
H19,0.7449031,0.375579051717584,7731.829575651223,0.8389122349417959
GM15046,0.0024240357,-7.675985499123919e-05,7721.781392931778,7.245326764237067e-05
GM28035,0.0025917147,-0.0001018354848871,7535.379085283552,9.660435685649422e-05
GPX1,0.3369442,0.3245160980091521,7461.325359379189,0.3086750712457132
MYH3,0.5408161,0.4406532321378737,7438.427803140963,0.058010916292324785
BDKRB2,0.0025276458,-0.0001429148749205,7344.915732772803,0.00014490653528474135
KRT5,0.8755544,0.4184061020694576,7295.054035199388,0.09660435685649423
ITIH2,0.09079852,0.4085374930834401,7065.622582972323,0.05892865768246148
CPOX,0.1215708,0.3717443438400789,6835.820052160332,0.07428875042264406
SLC25A37,0.18835509,0.3656356675724596,6824.92891796691,0.10097570400425059
ALDH1A2,0.8802522,0.3776524068690279,6566.575179957386,0.049195768729169684
IGF2,0.95949584,0.3404707238317798,6290.738158920489,0.7149688450949138
ACTA1,0.50448984,0.3829754477559736,6130.110527877841,0.05571656281698305
SOX9,0.98611623,0.3395679525717157,6040.372817113312,0.0921605564410955
TNNT1,0.79520404,0.3507568840129308,6004.155754739084,0.08059218470753031
COL9A1,0.8844189,0.3471451952019199,5926.368575839861,0.08216200550644834
BLVRB,0.10032413,0.3244023061155539,5893.299763566138,0.0845771144278607
DLK1,1.2517905,0.334694774617579,5892.8260169901005,0.2666521760131382
PMEL,0.35027486,0.3820032489579809,5882.90575297489,0.03190358885185722
TTR,0.044227216,0.3541236147964677,5845.7397239841775,0.05091049606337246
IGFBP7,0.15787762,0.3165290122882391,5845.18566259838,0.03542964787711926
