g,imp_sumup_norm,I,LLR,n_cells_by_counts_norm
TTR,1.5979209,0.3861609297230632,10171.3698411168,0.34320631418144787
PCP4,1.0069218,0.3684336273825156,5480.306669766083,0.5594500551642196
TSHZ2,0.9840197,0.1735472027985532,2158.000881047814,0.06925231265382331
CALB2,0.9536759,0.3039960924847367,4676.630484989604,0.10795213443095986
DDN,0.91707015,0.2993598071070606,4575.789540056474,0.25474553735607797
SST,0.89520127,0.3386234879537165,3521.290359017836,0.07844634926023367
HPCA,0.85210484,0.4364905099945689,9292.032953596034,0.4176355766782653
NRGN,0.8315644,0.4290003267313385,7688.491507335493,0.377210104953464
NNAT,0.7892412,0.2674784961574857,4396.550423345467,0.1394098842965855
GAP43,0.75869393,0.1400856686300909,1608.1727260368789,0.31969786981244164
KIF5A,0.7331266,0.2350063289839058,2316.489988912501,0.6250247531754788
PSD,0.71206766,0.1450209150319219,2091.135049039047,0.20040170867634163
MYL4,0.7113714,0.1143123982826579,1075.0011907303524,0.02319726159155846
CAMK2N1,0.7008806,0.1803100724403431,2738.742677582959,0.5676256754080737
NPY,0.69002813,0.2577897611111761,2236.970084699082,0.06636679962658067
CRYM,0.68819976,0.23407648859277,3869.701975145399,0.09202523409431668
SPARC,0.6875403,0.2056106911871326,2669.645308101361,0.2674191632012221
PTGDS,0.6496323,0.2884972447369692,2479.97647996476,0.4546380378511415
GRIA1,0.6338969,0.208190646529341,3566.493572915904,0.24888964327137966
TNNT1,0.6266124,0.2330848206000087,3300.3320466652003,0.07742793289767745
CAMK2A,0.61907244,0.2462179172819624,3537.2233951352173,0.44561373730515713
GFAP,0.6189689,0.103825148726952,741.4314085530859,0.056126057314209735
MEF2C,0.6076429,0.194890411000317,2309.4679187772344,0.19522475883334747
HPCAL4,0.60058486,0.1217598955657963,1742.0455967864873,0.18297547313926843
MBP,0.59835064,0.3617287640323469,4159.354115412098,0.589974256697502
CCK,0.5964536,0.1646630279698766,2054.884847835405,0.30906107669240995
MEG3,0.5944248,0.264279762695797,2411.8252417846816,0.5350646411496789
PPP3CA,0.5928791,0.2878926964429289,5021.779445755856,0.45183739285411184
NEFM,0.58990014,0.1699340051757916,1694.719218012462,0.2647033862344055
GAD1,0.5650581,0.184619792636162,1234.001549110595,0.07349571416447424
HS3ST4,0.5630912,0.1736950408332883,2679.4222151073227,0.09114826444878214
SNCA,0.5610393,0.1979818920105567,3104.900705332584,0.22173187360321367
LAMP5,0.56009215,0.186175020858868,1843.15148481906,0.07162861749978783
CPLX2,0.5586428,0.205418826129523,3375.73356452155,0.24549492206285892
CELF4,0.5560645,0.0977382148594225,1382.7779060740795,0.2802342357633879
MOBP,0.55362684,0.2928116833147818,2956.728328132529,0.3340122775750375
LYPD1,0.541202,0.1380121853441432,1699.1082090390992,0.07476873461766953
ARF3,0.53923994,0.1218421098933722,2122.0320899309663,0.40131262553396135
FXYD6,0.53906214,0.1012783455146687,864.1350486709489,0.0888285382896263
ADCY1,0.5347049,0.0787387762988884,1100.819169550141,0.12832046168208436
NEFL,0.53372324,0.1162119714562439,1677.4978495728064,0.3571529604797873
OLFM1,0.5313455,0.1930357376016827,3318.7399341840137,0.4691504710175677
ATP1A3,0.52904284,0.1389532450903042,1508.3078641700777,0.3839712580271012
SNAP25,0.52011156,0.2343147587280793,2822.7830855895736,0.6012334153724292
IGFBP4,0.51993024,0.1618690596343685,2149.601332091919,0.08602789329259668
LMO4,0.5136128,0.1541154016407818,1909.317503128372,0.20068460211038502
RGS4,0.5075944,0.1320574331415853,1207.0145444345108,0.18713400661970636
NRSN1,0.5067739,0.078377740436535,925.4008080078564,0.3050157005855894
RBFOX1,0.49439555,0.1695132728152364,2470.635449132831,0.2361877280828312
PVALB,0.49328023,0.1429549494043901,1023.5747214257208,0.054541854083566724
PLP1,0.4912475,0.4250601466522353,3780.746142873206,0.5477948456816317
SPARCL1,0.48838153,0.1309971390000161,1063.7719408979465,0.6496364819372542
WIPF3,0.48825026,0.289051789580715,5238.234030610802,0.14003224985148094
BASP1,0.48767588,0.1228860268329041,1685.0263396260489,0.35672862032872216
CNIH2,0.485029,0.0706923227371717,1441.9118304976437,0.14198421454638038
CABP7,0.4826637,0.1285184459547028,2154.629911896518,0.06715890124190217
CPLX1,0.48253524,0.1509730421671154,1792.6988631610293,0.318226823955416
GABBR1,0.48167977,0.1221686123733205,1878.3989883452011,0.3917225381198902
APOD,0.48047376,0.2358282958605027,1499.740655934169,0.20478655690401426
SNHG11,0.4804297,0.1984668723581295,1811.564204160488,0.4164191349118787
3110035E14RIK,0.4788069,0.1588257103834321,2028.5009803971443,0.11335539902118871
FAM107A,0.4762712,0.0481177165399386,170.01822783942043,0.18942544343545786
SYN2,0.47381207,0.1545477526360455,2344.5025177984644,0.24238309428838156
FBXL16,0.47357494,0.0826656127171678,1220.6082802471428,0.2947749582732185
MALAT1,0.47339457,0.2144801598915645,1614.450978501358,0.8063594443972956
NCALD,0.4726487,0.1569180711962661,2222.0912403283364,0.2896262977736287
KIF5C,0.47225985,0.04928575228285,663.3398644808549,0.2588757814931115
SLC1A2,0.47120064,0.133442023556024,840.6577043892103,0.510085150923647
TMSB4X,0.47000486,0.1631430486323491,3095.2978072172045,0.6155195337916207
NRN1,0.46855924,0.1101721126121977,1580.7504795016575,0.26453365017397945
MAP2,0.46655247,0.0557360371372895,625.20713305963,0.25845144134204645
BOK,0.4657023,0.0944213765437093,1357.897746166975,0.09298707177006421
NAP1L5,0.46360007,0.0968354424147755,810.0489200430311,0.28832498797702905
TSPAN7,0.4627546,0.075418868846034,910.5507023057652,0.4715833545503409
CALB1,0.46010223,0.1216170763123292,1243.722124077358,0.08956406121813913
PRKCB,0.45876357,0.153315643737419,2330.8420344277183,0.2589323601799202
STXBP6,0.45848766,0.129163339997163,1911.6510573855196,0.07737135421086877
ITM2C,0.4579676,0.1252970886410598,2124.037763841181,0.3939856855922374
RAB3C,0.45781347,0.1235478511824268,1311.7382077446164,0.2401199468160344
NCDN,0.45744133,0.1790935939997342,3078.5459105453265,0.45526040340603696
CATSPERD,0.4569188,0.0293030651073716,278.53082818819166,0.1973181702452686
MAP1B,0.45474413,0.1507796505579808,1853.043068300758,0.4570709213839147
VSNL1,0.45368832,0.1633102983219662,1728.112889112177,0.3748338001074995
CPE,0.45368773,0.0771455038938832,1046.992579270678,0.6615462955104812
PPP1R9B,0.45297652,0.0307589151384456,309.63709929381366,0.21649834507341084
NECAB2,0.45130605,0.2291855778814959,4332.527321379366,0.10993238846926363
ATP1B1,0.45088306,0.2000420617998337,2172.9393361893453,0.48329514271973745
DKK3,0.4457198,0.1795275503869516,2628.5243425370863,0.13428951314040002
CHGB,0.44513813,0.2018202793265582,2916.6162748890056,0.2702480975416561
MT-RNR2,0.44496176,0.2099364604345173,515.2418551161609,0.9797731194658972
SYT1,0.44351006,0.1549585926422556,1419.4697625453264,0.38235876545305386
NTM,0.4426156,0.0446017655987091,395.93064598806086,0.18187218874649919
KIF5B,0.44112968,0.0160592291506933,105.70702478435123,0.20648391750827463
CHN1,0.44095957,0.2131453255957538,3442.2245270581698,0.339387252821862
NREP,0.4406304,0.0688577116851679,633.3990762965332,0.09310022914368157
NSMF,0.4384082,0.0480618788596671,520.5180118728749,0.19768593170952503
RAPGEF4,0.43818185,0.0364441007742438,245.80932966488763,0.08424566465812329
PTN,0.43697482,0.0431598925419345,248.52264553187703,0.1923675351495092
GAD2,0.43628255,0.1617961524723289,983.9881566926632,0.05168463039972842
MT1,0.43518314,0.052541167632935,205.07994079019045,0.21112336982658633
