g,imp_sumup_norm,I,LLR,n_cells_by_counts_norm
GM13872,0.0017846745,-5.889400911851384e-05,12139.966741860204,5.657868680867917e-05
TTR,1.5979209,0.3861609297230632,10171.3698411168,0.34320631418144787
GM26724,0.0019424271,-9.891054375034308e-05,10064.83366610334,0.00011315737361735834
1500015O10RIK,0.15981853,0.4890815942627946,9610.082143239231,0.026111063962205437
HPCA,0.85210484,0.4364905099945689,9292.032953596034,0.4176355766782653
NRGN,0.8315644,0.4290003267313385,7688.491507335493,0.377210104953464
TAC2,0.3980739,0.3821439120252242,6540.67906437505,0.040425471724801265
2010005H15RIK,0.0017621455,-5.494260442587347e-05,6529.248468059086,5.657868680867917e-05
GM5741,0.25437707,0.321396695719189,6115.001288782791,0.034909049760955047
CCDC153,0.39211446,0.4208237285830791,5986.846006886968,0.023480155025601857
ENPP2,0.37486872,0.3054825586883027,5863.697643151711,0.12303035446547286
PLATR7,0.0016890382,-8.48618172635269e-05,5803.480639941074,8.486803021301876e-05
KCNJ13,0.0106189465,0.3554265052534502,5780.496216823951,0.008486803021301876
NWD2,0.17818485,0.341689224079803,5707.433814162276,0.0559563212537837
PCP4,1.0069218,0.3684336273825156,5480.306669766083,0.5594500551642196
C1QL2,0.22288649,0.335183412274275,5318.1538232339335,0.031627485926051656
FOLR1,0.01295936,0.3286416808912013,5288.999787170567,0.011344026705140174
ASCL3,0.001791337,-0.000112781092081,5240.024118770045,0.00011315737361735834
WIPF3,0.48825026,0.289051789580715,5238.234030610802,0.14003224985148094
IGF2,0.13671409,0.3241440688121746,5026.465807342098,0.02452686073156242
PPP3CA,0.5928791,0.2878926964429289,5021.779445755856,0.45183739285411184
KCNE2,0.0030376604,0.2961029838059796,4903.114975421282,0.007581544032363009
GNG8,0.3193026,0.2892318149177961,4887.518164224133,0.03663469970861976
CALB2,0.9536759,0.3039960924847367,4676.630484989604,0.10795213443095986
DDN,0.91707015,0.2993598071070606,4575.789540056474,0.25474553735607797
1700123L14RIK,0.0019879646,-0.0001109921808597,4488.499357595574,0.00011315737361735834
CALML4,0.039685223,0.2872314435051694,4454.620926798456,0.01584203230643017
NNAT,0.7892412,0.2674784961574857,4396.550423345467,0.1394098842965855
NECAB2,0.45130605,0.2291855778814959,4332.527321379366,0.10993238846926363
SOSTDC1,0.009385496,0.2943331618405857,4314.758752249585,0.012079549633653004
FAM83E,0.0017115545,-5.496610414719147e-05,4277.908513134971,5.657868680867917e-05
PTK2B,0.38159722,0.2396155174407739,4159.905571576404,0.17842088885116977
MBP,0.59835064,0.3617287640323469,4159.354115412098,0.589974256697502
ZIC1,0.3758986,0.2503926128762682,4158.953130101858,0.1295651927918753
NEUROD6,0.20582661,0.2438576978273268,4024.5934816165054,0.09055418823729101
SCUBE1,0.07649313,0.2426017692797681,3970.0318558130657,0.038416928343093154
POU4F1,0.015907656,0.2503036191529093,3915.930222544172,0.025036068912840534
GPR151,0.19479914,0.2719947867521743,3872.975006116714,0.025601855780927326
CRYM,0.68819976,0.23407648859277,3869.701975145399,0.09202523409431668
CPNE6,0.3721868,0.2274934925484353,3841.9319740388746,0.11745735381481796
SYT9,0.14230147,0.216390923781666,3802.3375094021903,0.047978726413759935
PLP1,0.4912475,0.4250601466522353,3780.746142873206,0.5477948456816317
SNCG,0.32098514,0.2362843945750606,3774.2557001935375,0.03753995869755863
GM20634,0.0017569358,-7.900153840306235e-05,3739.645459656153,8.486803021301876e-05
CLIC6,0.0031885807,0.234386153709357,3639.339163524586,0.006987467820871877
LRRC55,0.07130226,0.2124902486033476,3637.860393443592,0.030213018755834677
GRIA1,0.6338969,0.208190646529341,3566.493572915904,0.24888964327137966
CAMK2A,0.61907244,0.2462179172819624,3537.2233951352173,0.44561373730515713
SST,0.89520127,0.3386234879537165,3521.290359017836,0.07844634926023367
PRKCD,0.39946046,0.281473124863711,3495.7086584157405,0.10155874282157912
SPINK8,0.26125276,0.2185406482885624,3464.451988849758,0.02517751562986223
CHN1,0.44095957,0.2131453255957538,3442.2245270581698,0.339387252821862
2010300C02RIK,0.294265,0.2054583352880442,3422.813930575336,0.10583043367563438
CPLX2,0.5586428,0.205418826129523,3375.73356452155,0.24549492206285892
RSPH1,0.026208466,0.260947090360456,3364.1475618470904,0.019208464171546577
RBP1,0.081948504,0.1887588759258019,3348.028146412842,0.03663469970861976
TMEM212,0.024557376,0.3026909026264116,3347.3935487445638,0.013324280743443944
OLFM1,0.5313455,0.1930357376016827,3318.7399341840137,0.4691504710175677
