g,imp_sumup_norm,I,LLR,n_cells_by_counts_norm
HPCA,0.75174344,0.4107938674879977,4648.343576292296,0.3703047700482502
PCP4,1.7314881,0.4025181038667447,3060.304089767931,0.4264948390643132
CCDC153,0.20819896,0.3936483226509781,2735.421760447849,0.005191473767788432
NRGN,0.7880183,0.3775410313364672,3484.6788047756418,0.3437366395895682
PLP1,0.7211141,0.3553087488093733,1656.2761525258393,0.4627130031148843
TMEM212,0.037090722,0.3404427639932442,1670.8870754658549,0.003420265070542967
CRYM,0.6302793,0.3210213607455204,3158.0176719054525,0.12844316863128322
NEUROD6,0.2819599,0.302438855508607,2840.348904451645,0.10327978989800281
PPP3CA,0.69303304,0.3001539219394012,3042.7127861551853,0.5038783362853478
HBB-BS,0.45602795,0.2929744789823791,1721.2272052434892,0.02711781591644781
WIPF3,0.2623592,0.2917732457137565,2653.9434364613207,0.1367495266597447
MBP,0.9087819,0.2819311963553995,1572.675834032907,0.5436389177304098
PRKCD,0.3766556,0.2652876519824556,1737.6630958459646,0.07365785134062175
SPINK8,0.26199278,0.2622231545950713,2248.988595587236,0.0354241739449093
C1QL2,0.350265,0.2595796583857376,2130.9628537397966,0.042325780247969215
OLFM1,0.8484509,0.2579398190898984,2652.0745662216505,0.4556281683259024
PTK2B,0.35658953,0.2537471193155006,2381.5883521066644,0.18554938007695596
CALB2,0.45326707,0.2533325512139263,1496.4470849536174,0.02827826299395346
CAMK2A,0.9282426,0.2485683897672562,2455.8614684240965,0.4026751358944604
FAM131A,0.34001127,0.2465965344740439,2021.940621306985,0.19013009222500457
CPNE6,0.1974628,0.2442548766226913,2205.0471484498994,0.11598363158859097
CAMK2N1,0.9443622,0.2427317323654629,2378.6308728033327,0.5884077444573383
SNCA,0.66761273,0.2415861493828985,2220.9077720041823,0.25145055884688206
SNAP25,0.680066,0.2405683398374761,1624.96298023302,0.6372075978745496
ACTA2,0.0068343705,0.2371847678987415,952.2665091278924,0.00549685457765834
GRIA1,0.54403245,0.2358969494809327,2057.538139799064,0.25151163500885604
MEF2C,0.7670872,0.2351080252973643,1749.183067341546,0.20539913271849997
CHN1,0.5365773,0.2324310595800101,2224.7326859911736,0.3726256642032615
TNNT1,0.50380564,0.2321080704331487,1804.2687082248049,0.06913821535454712
APOD,0.5595707,0.2304337786629556,859.0432325950133,0.19122946314053624
MGP,0.066494584,0.2227517838042234,839.9522498389979,0.009527881267941123
ATP2B1,0.6027364,0.2227262442566191,1782.417923547233,0.3466682953643193
PTGDS,0.87744087,0.2220249722678704,852.530994867182,0.2810114212422891
ENC1,0.4116832,0.2205098955659448,1880.930391044336,0.2125450436694558
HBB-BT,0.11803843,0.2167094610101509,1166.828866071186,0.006901606303059916
MAL,0.41897106,0.2148461224595442,822.0105475726705,0.1867098271544616
DSP,0.007348004,0.2137308318216773,1116.524158301545,0.011299089965186587
GNRH1,0.004860766,0.2130229331357943,745.7794785256192,0.0011604470775056495
PRKCB,0.6591518,0.2123617970412392,1744.204872921444,0.3019605447993648
DDN,0.8544748,0.21222163007829,1860.774123658126,0.2112624442680022
CHGB,0.4353723,0.2121535895363534,1971.7584019073583,0.3003725645880413
MT-RNR2,0.7898378,0.2111859365562392,257.25815367742325,0.9899224332742931
RSPH1,0.016390227,0.2101074854590556,682.1198198318143,0.0065351493312160265
NPTX1,0.40782118,0.2094915426069021,1912.0277783904585,0.11696085018017467
DNALI1,0.0071078287,0.208411953685635,573.4287244290717,0.0017101325352714834
MOBP,0.60542345,0.2081904444625452,1014.3944581993564,0.2890734746228547
FIBCD1,0.15090714,0.2070367946317279,1712.727822870529,0.02320894155011299
CAMK2B,0.5360725,0.2070305124787286,2050.4098162449664,0.34550784828681363
2010300C02RIK,0.15431857,0.2039604071720629,1610.3260246984885,0.10523422708117022
VWF,0.112979196,0.2018859661228092,675.4522379852733,0.004825016795944543
PPP3R1,0.47723502,0.199575728335257,1896.665454228245,0.3533255970194833
IGF2,0.05541019,0.1994930569459025,805.8905781083577,0.006596225493190008
GABRA5,0.193831,0.1980806214190011,1622.3790685275435,0.09442374641177548
DKK3,0.40245998,0.1968365766751916,1692.9656010392882,0.1611799914493373
GRIA2,0.3774969,0.1951582225624248,1632.746139153991,0.3053808098699078
SNTN,0.0024054586,0.1934935566475545,781.5063827347112,0.0011604470775056495
CPLX2,0.6293528,0.1927333748118526,1753.8093718587006,0.24754168448054725
NCALD,0.59886086,0.1920704917231691,1669.1626518827725,0.3092286080742686
NPTXR,0.27392006,0.188614513521682,1837.7978960846667,0.13161912905393025
SST,0.5805162,0.1851010056581742,966.1281918962104,0.052342270811702195
CCK,0.67185557,0.1838961770408497,1388.5474154058977,0.2929823489891895
AK7,0.011026576,0.1834623474188613,846.3380246695833,0.003725645880412875
ATP1B1,0.566307,0.183367077152351,1208.4087787485623,0.5526781897025591
CNP,0.36322042,0.1826944313897357,632.0399037874595,0.18469431380932022
NPY,0.46162328,0.1805991722293441,916.0737847843628,0.058327734685152385
NCDN,0.56863904,0.1795397531541608,1688.503677911176,0.36010505099859524
ITPKA,0.3322171,0.1787268022456407,1527.7285437591654,0.11549502229279912
SYN2,0.46249992,0.1786753742628081,1727.69212916962,0.2783240701154339
CLDN11,0.27424294,0.177842002925608,619.6845569544203,0.14530018933610211
HBA-A1,0.009405174,0.1762238046740884,670.2053848452761,0.005374702253710377
HDC,0.002977618,0.1759917514670169,580.6035628288664,0.0023819703169852807
HBA-A2,0.01208729,0.1757096770385173,806.2160321378706,0.004397483662126672
NNAT,0.87467706,0.1740024418656611,1495.7513892011175,0.09833262077811031
