g,imp_sumup_norm,I,LLR,n_cells_by_counts_norm
Beta-s,0.59913784,0.1416187912175605,8.933674603159432,1.0
Kif5b,0.51827765,0.4136326219619554,69.32133300203756,0.9712230215827338
Apoe,0.4197431,0.6000838922990465,117.66933347758108,1.0
Usp7,0.41331264,0.0404154949731734,2.2459888934849914,0.802158273381295
Cdr1,0.39359453,0.4077902013467804,43.05530975796711,0.9964028776978417
Mcf2l,0.3163036,0.463826824818176,85.00362362744266,0.8992805755395683
Glul,0.2994191,0.4213772223272117,59.98775110866862,1.0
Scd1,0.27993378,0.492870281075818,90.33032597707576,0.9568345323741008
Kctd12,0.2753615,0.4007962379133757,73.13813720003844,1.0
Sparcl1,0.27357993,0.4205112407382027,52.94562246042139,1.0
Tuba1a,0.27204758,0.0953896952493445,4.46031918409588,1.0
Cst3,0.26653245,0.0709526708610222,2.6625351994126163,1.0
Cpe,0.2609349,0.3083927747567401,33.13654889411524,1.0
Tmsb4x,0.25547168,0.2467742345260511,22.69957520651893,1.0
Ptgds,0.24567334,0.2199909836853178,21.843628002895088,1.0
Slc1a2,0.24299972,0.347803530696245,48.45403120771519,1.0
Fabp7,0.23429708,0.6018432861691252,126.4946830454297,1.0
Ckb,0.233586,0.1709685787819417,12.002533397703305,1.0
Apod,0.2324488,0.4419037677165908,78.25053627113635,0.9964028776978417
Calb2,0.23230068,0.1161752469177767,7.925871282286636,0.960431654676259
Omp,0.23110932,0.5184964833757701,97.84443217148632,0.7302158273381295
Cep170,0.21206945,0.0613738314468849,0.1444499156027916,0.762589928057554
Gpm6b,0.2114328,0.3268114479570297,40.6071588058569,1.0
Calm1,0.20939822,0.1628639243429347,10.103151536038638,1.0
Atp6v0a1,0.20915014,-0.0084773286830594,0.0008992595552967,0.802158273381295
Tmed10,0.20780025,-0.0320193766986015,0.0979128524720351,0.8453237410071942
Eef1a1,0.20546316,0.1485969377291794,8.507860459897529,1.0
Atp5b,0.20357989,0.128225018353812,7.410548251489843,1.0
Actb,0.20088507,0.039548427782758,2.885867642164584,1.0
Tbc1d9,0.20076716,0.0393933993095379,0.0540429600731329,0.6942446043165468
Kcnj10,0.19472066,0.2021489258268879,16.992266639126342,0.9820143884892086
Gabra1,0.1898815,0.167544444299507,9.00702471466522,0.9424460431654677
Zmym2,0.18940946,0.076945679708731,6.311252921325576,0.7805755395683454
Fam98b,0.18869133,0.0198124614483521,0.8762812579747674,0.6294964028776978
Meg3,0.18744312,0.3235983434723875,31.69401595145021,0.9928057553956835
Marcks,0.1868695,0.2308810047853445,24.63558281743872,0.9964028776978417
Apc,0.18522206,0.3514793750156476,42.74227004576454,1.0
Rcan2,0.1847665,0.1494743158413301,7.758842935762061,0.8309352517985612
Hexb,0.18400814,0.0495297350276285,1.688301615430248,0.5719424460431655
S100a5,0.18328033,0.4946538627355253,92.10421142222832,0.8812949640287769
Eif4a1,0.18313499,0.1197906904847821,7.991794003481914,0.9316546762589928
Ahsa1,0.18221785,0.0812615835058347,3.786007806240093,0.5971223021582733
Nrgn,0.18153444,0.4158743033983738,59.871540035218885,0.8237410071942446
Arf6,0.18109934,0.0581253820746423,1.4372697669391528,0.7733812949640287
Hspa5,0.18033336,-0.0455969834343796,0.000904812029205,0.9640287769784173
Pcsk2,0.1790608,0.1055336887678346,5.3476946707381785,0.7050359712230215
Atp1b1,0.1787496,0.1687404926587063,13.462259896619258,1.0
Doc2g,0.17856736,0.2694261480308474,31.413510761533672,0.9748201438848921
Scd2,0.17842874,0.0676460327802836,2.9101952968383387,1.0
Rnf44,0.17823434,0.0398823642689715,0.320885365565843,0.8057553956834532
Rps16,0.17819308,0.065797779068633,3.450116666977948,0.8776978417266187
2900097C17Rik,0.17726696,0.2820075171636688,41.27377251524973,0.9964028776978417
Qk,0.17683329,0.1425616127117625,8.167297567349777,1.0
Ube2n,0.17653567,0.0540303570256982,0.872220542480278,0.8453237410071942
Snap25,0.17603062,0.3112130204174195,38.22082290320455,1.0
Pja1,0.17591381,0.0274326968953765,1.5917536684219726,0.8920863309352518
Ilk,0.17417091,0.0190126591252036,0.3779849496620215,0.6258992805755396
Fth1,0.17162178,0.0921797195293362,4.870154134070759,1.0
Shisa3,0.16990992,0.0593376718459293,3.3820181032687344,0.6834532374100719
Nsg2,0.16823393,0.259471397900301,28.946556969116173,0.9928057553956835
Ndrg4,0.1655885,0.2588850047721857,27.862965867005272,1.0
Egr1,0.16389562,0.2676425200231719,28.054178240252497,0.9100719424460432
Cplx1,0.16357781,0.2518005274144993,28.21670835174932,0.9892086330935251
Trak2,0.1629483,0.4118769135475901,64.96175935858301,0.89568345323741
Hspa8,0.16271323,0.1410563241682668,9.52937848350362,1.0
Hnrnpl,0.1627041,0.0131946699283781,1.2237044410757107,0.9388489208633094
Nr2f2,0.16008464,0.4630970765683435,81.92732838480725,0.6258992805755396
Map2,0.15994547,0.1831782040666325,18.406866056561626,1.0
Nrsn1,0.1585121,0.2640517487557843,26.227886797336826,0.9856115107913669
Plp1,0.15798466,0.1660130597091731,20.90962714885194,0.9496402877697842
Map1b,0.15768644,0.2139911977630195,18.81104216168083,1.0
Atp5g3,0.15726404,0.0740101125835261,2.815397041090961,0.9892086330935251
Gprasp1,0.157089,0.0207180715336518,0.3360352709024141,0.9460431654676259
Mbp,0.15705156,0.4570354086790096,75.28589256357887,1.0
Igfbp5,0.15578185,0.4252982925688148,69.19745867981104,0.9244604316546763
Ptn,0.15509954,0.3926404635087053,56.24675564515226,0.7805755395683454
Chd9,0.15501285,0.0071733373426054,0.0008885668877667,0.6726618705035972
Maged1,0.15373062,0.0141596559944169,0.1524717362458432,0.8057553956834532
Ednrb,0.15196407,0.0357856126821154,1.362319548356936,0.9244604316546763
Frrs1l,0.15096274,0.0382195795544618,1.6532585752574676,0.4028776978417266
Dpysl2,0.14932883,-0.014388553289865,0.0912275133185573,0.9892086330935251
Cox14,0.14924213,0.0416962530866287,1.8002541716682856,0.7230215827338129
Sepp1,0.14922401,0.4146945799826239,59.82055357404056,1.0
Itm2b,0.1490696,0.0965869716204463,4.032207619705986,1.0
Fkbp2,0.1490087,-0.0177729490550101,0.0251528811333514,0.8201438848920863
Mnf1,0.14886457,0.0022003006259326,0.000900224249932,0.7877697841726619
Snx3,0.14873025,0.0019026465006062,0.4597148735919774,0.8129496402877698
Rps15,0.1485236,-0.0125585630770073,0.2341688336931895,0.960431654676259
Pisd-ps1,0.14845875,0.0840212247604138,3.037039613534091,0.7733812949640287
Rock2,0.1482517,0.0434295447499721,0.9678622713847744,0.7482014388489209
Arhgap5,0.14802411,0.1055042776578535,7.070341215031874,0.9172661870503597
Ppp1r9a,0.14736767,0.0038309210980274,0.00089685020464,0.8309352517985612
Vamp2,0.14726797,0.266650483688026,24.602455792440225,1.0
Prkar1a,0.1469345,0.0005941952870754,0.0009092610368384,0.9928057553956835
Calm2,0.14664005,0.3943052044378444,55.53604036432149,1.0
Rplp1,0.14556423,0.0230012930588082,0.1744372276300509,1.0
Ndufb3,0.14538886,0.0013011566160428,0.0009130782507327,0.8525179856115108
Cck,0.1452535,0.214370700223417,19.850899751806,0.960431654676259
Entpd4,0.14517772,0.0634631224650712,1.869202640338301,0.7158273381294964
Pmepa1,0.14513804,0.2563561303126411,33.748511981260464,0.737410071942446
