g,imp_sumup_norm,I,LLR,n_cells_by_counts_norm
Fabp7,0.23429708,0.6018432861691252,126.4946830454297,1.0
Apoe,0.4197431,0.6000838922990465,117.66933347758108,1.0
Omp,0.23110932,0.5184964833757701,97.84443217148632,0.7302158273381295
S100a5,0.18328033,0.4946538627355253,92.10421142222832,0.8812949640287769
Scd1,0.27993378,0.492870281075818,90.33032597707576,0.9568345323741008
Mcf2l,0.3163036,0.463826824818176,85.00362362744266,0.8992805755395683
Gng13,0.111247376,0.4729244610491939,84.96319867274924,0.7410071942446043
Nr2f2,0.16008464,0.4630970765683435,81.92732838480725,0.6258992805755396
Apod,0.2324488,0.4419037677165908,78.25053627113635,0.9964028776978417
Mbp,0.15705156,0.4570354086790096,75.28589256357887,1.0
Kctd12,0.2753615,0.4007962379133757,73.13813720003844,1.0
Igfbp4,0.04198351,0.4609893599910289,72.21862916231325,0.2697841726618705
Pcp4,0.10878989,0.4598145804454073,71.36386144046458,0.9964028776978417
Kif5b,0.51827765,0.4136326219619554,69.32133300203756,0.9712230215827338
Igfbp5,0.15578185,0.4252982925688148,69.19745867981104,0.9244604316546763
Trak2,0.1629483,0.4118769135475901,64.96175935858301,0.89568345323741
Atf5,0.08779782,0.4083412935209209,64.54754965605308,0.5971223021582733
Ccnd1,0.07690414,0.4045424348280524,64.20314663266345,0.6294964028776978
Glul,0.2994191,0.4213772223272117,59.98775110866862,1.0
Nrgn,0.18153444,0.4158743033983738,59.871540035218885,0.8237410071942446
Sepp1,0.14922401,0.4146945799826239,59.82055357404056,1.0
Ptn,0.15509954,0.3926404635087053,56.24675564515226,0.7805755395683454
Camk2n1,0.09835397,0.3817053100586379,55.76104757718366,1.0
Calm2,0.14664005,0.3943052044378444,55.53604036432149,1.0
Agap2,0.12901545,0.3817957760206304,53.72109997570644,0.9784172661870504
Sparcl1,0.27357993,0.4205112407382027,52.94562246042139,1.0
Sash1,0.1413322,0.3725853927314413,52.63897056614621,0.9136690647482014
Hey2,0.045602653,0.35641998280951,52.45285398026549,0.4352517985611511
Camk2a,0.13220957,0.3840056541114579,48.86072960497799,0.8525179856115108
Slc1a2,0.24299972,0.347803530696245,48.45403120771519,1.0
Cldn5,0.11126125,0.3447497660175131,47.04617670255352,0.4784172661870504
Hmgcs2,0.044155367,0.372201150943495,46.69692494867365,0.39928057553956836
Penk,0.10319052,0.3400512144302661,46.61054644623917,0.8489208633093526
Hpcal4,0.08824209,0.3386413929040624,46.55629973835696,0.8992805755395683
Camk4,0.092079416,0.3677027532401448,46.43171102344471,0.4784172661870504
Gng4,0.075145155,0.3409356721481862,45.8664639980461,0.7877697841726619
Plekhb1,0.09080946,0.3126778949122037,45.77328279991092,0.9388489208633094
Cpne4,0.110688515,0.3333319255740235,44.877324927564445,0.9388489208633094
Lpar1,0.07977161,0.3090741037536088,43.41998154858973,0.5899280575539568
Cdr1,0.39359453,0.4077902013467804,43.05530975796711,0.9964028776978417
Foxd3,0.04347936,0.3378330270245723,42.954172626205605,0.3129496402877698
Apc,0.18522206,0.3514793750156476,42.74227004576454,1.0
Cabs1,0.0069284,0.2346736931190073,42.61233459342145,0.01079136690647482
Sorbs1,0.1308415,0.2852133333804038,41.748832037363,0.9388489208633094
2900097C17Rik,0.17726696,0.2820075171636688,41.27377251524973,0.9964028776978417
Nudt4,0.118668884,0.2953801329168767,41.16581230888556,0.8848920863309353
Camk2b,0.07761652,0.2858091695278525,41.15667308024928,0.9676258992805755
Gpm6b,0.2114328,0.3268114479570297,40.6071588058569,1.0
Ahcyl2,0.07222428,0.2932700990981617,39.709524576859565,0.9676258992805755
Ppfia1,0.07827252,0.2911376255228445,39.55087581372369,0.6654676258992805
Vim,0.08777771,0.3133623291909987,38.74262012146349,0.7877697841726619
Snap25,0.17603062,0.3112130204174195,38.22082290320455,1.0
Mapk1,0.12471108,0.3110808946215494,37.94345094100064,0.9964028776978417
Unc13c,0.06805,0.3112060040628031,37.936714489401936,0.420863309352518
Sh3pxd2a,0.062476393,0.2943365731246585,37.55442648207325,0.46402877697841727
Sez6,0.08057931,0.3046562593839647,37.4390514034782,0.8237410071942446
Vtn,0.07780091,0.2818285341935781,36.21103902233378,0.7050359712230215
Mfap3l,0.11221336,0.2920463093029589,35.3286387124443,0.8776978417266187
Paqr6,0.023588771,0.3182713655387856,35.06139877753336,0.10071942446043165
Psd,0.10679639,0.2750748834998585,34.470177107486364,0.841726618705036
Gpt2,0.07017781,0.2641108507142133,34.24502896660414,0.7410071942446043
Pmepa1,0.14513804,0.2563561303126411,33.748511981260464,0.737410071942446
Tubb2b,0.101838484,0.259460904601582,33.465734017614565,0.8309352517985612
Grin1,0.06362944,0.2479548959291184,33.338099823928275,0.8489208633093526
Cpe,0.2609349,0.3083927747567401,33.13654889411524,1.0
Rbfox3,0.06592421,0.2701249611680233,32.09642106041571,0.6762589928057554
Map1a,0.13151345,0.2599582399694901,32.00436632251174,0.9748201438848921
Meg3,0.18744312,0.3235983434723875,31.69401595145021,0.9928057553956835
2310022B05Rik,0.070020095,0.2246587976252063,31.523302305428416,0.7302158273381295
Doc2g,0.17856736,0.2694261480308474,31.413510761533672,0.9748201438848921
Icam5,0.052985772,0.2656886656183544,31.39626476224393,0.7014388489208633
Rragd,0.0676604,0.2768663979177602,31.17935863009535,0.9028776978417267
Nrxn3,0.10111396,0.2985911084692776,30.664203402359107,0.8741007194244604
Ccnd2,0.057546534,0.2786809035581337,30.22490985753251,0.4676258992805755
Slc6a11,0.10274978,0.2695099952883057,30.02809148252425,0.9892086330935251
Tshz1,0.10769401,0.2467702565409643,29.98042492269332,0.9568345323741008
Frzb,0.0870687,0.2388836736360697,29.28799963161244,0.6474820143884892
Nsg2,0.16823393,0.259471397900301,28.946556969116173,0.9928057553956835
Aspa,0.031977385,0.2635503095703524,28.867990926709183,0.4568345323741007
Gria2,0.14261402,0.2626981194930154,28.62058590523173,0.9964028776978417
Cplx1,0.16357781,0.2518005274144993,28.21670835174932,0.9892086330935251
Egr1,0.16389562,0.2676425200231719,28.054178240252497,0.9100719424460432
Ndrg4,0.1655885,0.2588850047721857,27.862965867005272,1.0
Gpsm1,0.08152683,0.2623594673361959,27.76308665360672,0.7410071942446043
Plekha4,0.025027217,0.2852309639879573,27.30126710534458,0.17625899280575538
A730046J19Rik,0.0076407176,0.1409826901377895,27.21839548442574,0.01079136690647482
S100b,0.08427996,0.2368933012994865,26.979494129389423,0.9496402877697842
5430401F13Rik,0.00698777,0.1815201394887682,26.73862454219659,0.01079136690647482
Ahnak,0.101126656,0.2374504118787928,26.667441675684813,0.5899280575539568
Col12a1,0.032233804,0.2918125694269596,26.657240727805345,0.17985611510791366
Ncdn,0.09680909,0.2734509788254447,26.403053892459557,0.7589928057553957
Nrsn1,0.1585121,0.2640517487557843,26.227886797336826,0.9856115107913669
Bpifb9a,0.03157398,0.2157134970921559,25.99664920312003,0.1618705035971223
Gda,0.10394322,0.2777267705753614,25.862370578101743,0.8237410071942446
Pik3r1,0.077615336,0.2417900905819018,25.773021404212344,0.8453237410071942
Ppm1e,0.08607101,0.2439784818097138,25.75103387988176,0.9820143884892086
Id3,0.08553336,0.2605234161231486,25.63556086663833,0.7302158273381295
Stxbp1,0.0865824,0.2388002083459692,25.56452258999116,0.9928057553956835
Baiap2,0.05023589,0.2226352048443443,25.476337961123136,0.7949640287769785
Zdhhc2,0.05079489,0.2785853259657195,25.291535665347283,0.31654676258992803
