,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
AFP,0.8195923883272238,0.0,8.017598017910661e-06,0.0,0.009900990099009901,2.017404661674268e-05,0.0,0.0,0.016630505050837366
ALB,0.8193761422106072,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.832618467383965e-05,0.0,0.0,0.016630505050837366
GJA8,0.6434644383306467,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.872926689091494e-05,0.0,0.0,0.016630505050837366
CRYBA1,0.6048926532966923,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.4292861804900476e-05,0.0,0.0,0.016630505050837366
ALDH1A1,0.5830084194081063,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.8487192170796706e-05,0.0,0.0,0.016630505050837366
CRYBB1,0.5763555089601554,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.4106660375933155e-05,0.0,0.0,0.016630505050837366
CRYGN,0.5733198651389838,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.5904777899754075e-05,0.0,0.0,0.016630505050837366
CRYBA4,0.5702964741846044,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.6428845879857033e-05,0.0,0.0,0.016630505050837366
CRYBA2,0.5701885512509931,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.587835038875023e-05,0.0,0.0,0.016630505050837366
CRYGE,0.5671026511073672,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.795209260583966e-05,0.0,0.0,0.016630505050837366
CRYGA,0.5634078870176974,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.4627054328935958e-05,0.0,0.0,0.016630505050837366
CAPN3,0.5606993870567624,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.6740432425739983e-05,0.0,0.0,0.016630505050837366
MIP,0.5584654541781976,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.4021928566174283e-05,0.0,0.0,0.016630505050837366
RBP4,0.556786200846367,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.440105144996935e-05,0.0,0.0,0.016630505050837366
CRYGD,0.5550512045202798,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.4976280385097673e-05,0.0,0.0,0.016630505050837366
CRYGB,0.5500462292636197,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.646220872895989e-05,0.0,0.0,0.016630505050837366
CRYBB3,0.5484191812133825,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.3631273742609649e-05,0.0,0.0,0.016630505050837366
CRYGF,0.544497068230806,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.6554620288000574e-05,0.0,0.0,0.016630505050837366
SERPINA6,0.5432387554119631,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.2396590495060238e-05,0.0,0.0,0.016630505050837366
CRYAA,0.5423716875246093,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.3542460071217998e-05,0.0,0.0,0.016630505050837366
HBB-BT,0.5423090527721327,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.7216441628522596e-05,0.0,0.0,0.016630505050837366
HBB-BS,0.5421641642326375,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.4374109415873043e-05,0.0,0.0,0.016630505050837366
ACTC1,0.5363348425245708,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.2533071643506064e-05,0.0,0.0,0.016630505050837366
APOA1,0.5297631048048929,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.4390257535007125e-05,0.0,0.0,0.016630505050837366
CRYGC,0.5271715454923028,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.6760313971946114e-05,0.0,0.0,0.016630505050837366
CAR2,0.5259255165171578,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.3920289204432885e-05,0.0,0.0,0.016630505050837366
TRF,0.5233374236532438,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.0281412699343297e-05,0.0,0.0,0.016630505050837366
AMBP,0.5214339740289413,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.2835915724287674e-05,0.0,0.0,0.016630505050837366
APOA2,0.5165397677101424,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.6700586079726257e-05,0.0,0.0,0.016630505050837366
LIM2,0.5125965053605728,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.3903336527740762e-05,0.0,0.0,0.016630505050837366
HBB-Y,0.461877455044422,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.1638901642867335e-05,0.0,0.0,0.016630505050837366
MYH3,0.4406532321378737,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.5921445726632133e-05,0.0,0.0,0.016630505050837366
HBA-A1,0.43895831351177433,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.4362770267666101e-05,0.0,0.0,0.016630505050837366
MYLPF,0.43810605842881245,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.1906991429272132e-05,0.0,0.0,0.016630505050837366
COL9A3,0.43489812006730555,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.3992832235861549e-05,0.0,0.0,0.016630505050837366
HOXD13,0.4275732709037833,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.4250877739958914e-05,0.0,0.0,0.016630505050837366
KRT5,0.4184061020694576,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.3367902539183292e-05,0.0,0.0,0.016630505050837366
COL2A1,0.41138932428508096,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.203024498911181e-05,0.0,0.0,0.016630505050837366
ITIH2,0.4085374930834401,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.0692122174797213e-05,0.0,0.0,0.016630505050837366
ACTA1,0.3829754477559736,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.090512872347775e-05,0.0,0.0,0.016630505050837366
PMEL,0.3820032489579809,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.3197341545883365e-05,0.0,0.0,0.016630505050837366
ALDH1A2,0.37765240686902796,0.0,8.017598017910661e-06,0.0,0.009900990099009901,9.633232937519495e-06,0.0,0.0,0.016630505050837366
H19,0.37557905171758404,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.4376563984230207e-05,0.0,0.0,0.016630505050837366
CPOX,0.37174434384007893,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.308431396784613e-05,0.0,0.0,0.016630505050837366
SLC25A37,0.3656356675724596,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.2473501883048552e-05,0.0,0.0,0.016630505050837366
TTR,0.35412361479646776,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.2418209471844124e-05,0.0,0.0,0.016630505050837366
TNNT1,0.3507568840129308,0.0,8.017598017910661e-06,0.0,0.009900990099009901,9.590875538237215e-06,0.0,0.0,0.016630505050837366
COL9A1,0.3471451952019199,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.3383827518691323e-05,0.0,0.0,0.016630505050837366
TRPM1,0.3443131178005057,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.1536256547869379e-05,0.0,0.0,0.016630505050837366
IGF2,0.3404707238317798,0.0,8.017598017910661e-06,0.0,0.009900990099009901,9.216366086645096e-06,0.0,0.0,0.016630505050837366
SOX9,0.33956795257171574,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.112049123512913e-05,0.0,0.0,0.016630505050837366
APOC2,0.3395063373574418,0.0,8.017598017910661e-06,0.0,0.009900990099009901,9.102195145121791e-06,0.0,0.0,0.016630505050837366
DLK1,0.33469477461757907,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.2003545585880205e-05,0.0,0.0,0.016630505050837366
SLC4A1,0.3340911498430415,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.1642302220918421e-05,0.0,0.0,0.016630505050837366
MSX1,0.33351747819357025,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.3223330320383639e-05,0.0,0.0,0.016630505050837366
KRT17,0.3306962937093943,0.0,8.017598017910661e-06,0.0,0.009900990099009901,9.542326297984681e-06,0.0,0.0,0.016630505050837366
HBA-X,0.32951970664670865,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.170077244083956e-05,0.0,0.0,0.016630505050837366
KRT14,0.32825910683645776,0.0,8.017598017910661e-06,0.0,0.009900990099009901,8.846574267520243e-06,0.0,0.0,0.016630505050837366
GPX1,0.3245160980091521,0.0,8.017598017910661e-06,0.0,0.009900990099009901,9.459592511834574e-06,0.0,0.0,0.016630505050837366
BLVRB,0.32440230611555393,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.006019139154729e-05,0.0,0.0,0.016630505050837366
IGFBP7,0.3165290122882391,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.053960634559029e-05,0.0,0.0,0.016630505050837366
GYPA,0.31632258705892247,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.2004038825743433e-05,0.0,0.0,0.016630505050837366
MT1,0.3153462862348087,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.0181131767280414e-05,0.0,0.0,0.016630505050837366
WWP2,0.3089232671102029,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.3593500576423215e-05,0.0,0.0,0.016630505050837366
APOE,0.3080763794191492,0.0,8.017598017910661e-06,0.0,0.009900990099009901,9.711748006668987e-06,0.0,0.0,0.016630505050837366
MGARP,0.30194059253634564,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.0122287912166737e-05,0.0,0.0,0.016630505050837366
ALAD,0.3017378129725485,0.0,8.017598017910661e-06,0.0,0.009900990099009901,1.1471068963173885e-05,0.0,0.0,0.016630505050837366
