,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
AFP,0.8839855009365701,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,7.979259715369686e-05,,,0.03699834038107192
ALB,0.8685598584397581,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,7.742885965747063e-05,,,0.03699834038107192
HBB-BT,0.7115390508908208,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,6.846299498639885e-05,,,0.03699834038107192
HBB-BS,0.7004861610965967,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,7.034477236868999e-05,,,0.03699834038107192
ACTC1,0.6924238720686765,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.3019418405771654e-05,,,0.03699834038107192
HBA-A1,0.5983673103142949,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.671337153139773e-05,,,0.03699834038107192
CAR2,0.5916578459796376,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.700400196128137e-05,,,0.03699834038107192
RBP4,0.577699716827797,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.4988519365465574e-05,,,0.03699834038107192
MYLPF,0.5746967060028478,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.636245933650918e-05,,,0.03699834038107192
KRT5,0.5703356966110833,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.759018503386571e-05,,,0.03699834038107192
MYH3,0.5675280872082457,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.018065248477486e-05,,,0.03699834038107192
SERPINA6,0.5548450101947691,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.6724219755283694e-05,,,0.03699834038107192
TRF,0.5534521292125314,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,6.388234963407784e-05,,,0.03699834038107192
APOA1,0.5454269502254411,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,7.387656905417991e-05,,,0.03699834038107192
AMBP,0.5399707915002876,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.685280690932619e-05,,,0.03699834038107192
APOA2,0.5235613085862445,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.252612311584499e-05,,,0.03699834038107192
ALDH1A1,0.5141360497429878,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.340487088758787e-05,,,0.03699834038107192
TNNT1,0.5082477389844093,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.02485933204528e-05,,,0.03699834038107192
PMEL,0.5011048503860992,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.477041018331397e-05,,,0.03699834038107192
CRYBA1,0.4988462999085985,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.582429833953074e-05,,,0.03699834038107192
GPX1,0.4916242502002109,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.227890817087128e-05,,,0.03699834038107192
ACTA1,0.4855807799981719,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.3693661460658346e-05,,,0.03699834038107192
TPM2,0.4820368521021053,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.139907417834345e-05,,,0.03699834038107192
KRT17,0.47548658650040765,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.0805857784977996e-05,,,0.03699834038107192
TRPM1,0.4687158105423041,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.7053056209251953e-05,,,0.03699834038107192
KRT14,0.4641605285636803,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.893370730235288e-05,,,0.03699834038107192
CRYBB3,0.4631007595069411,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.404035892769498e-05,,,0.03699834038107192
SLC25A37,0.44775078748126074,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.479569004495283e-05,,,0.03699834038107192
COL9A3,0.4393774534622999,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.1210140994361945e-05,,,0.03699834038107192
HOXD13,0.43703033933456537,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.6741865096077034e-05,,,0.03699834038107192
HBB-Y,0.4315545407938183,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.318862846947273e-05,,,0.03699834038107192
COL1A2,0.4064159012922767,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.976086372968541e-05,,,0.03699834038107192
CPOX,0.4047001431522952,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.834000530868546e-05,,,0.03699834038107192
CRYAA,0.40415416992849706,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.628430958682172e-05,,,0.03699834038107192
APOE,0.4012339301402404,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.7268110020982216e-05,,,0.03699834038107192
TNNC1,0.3963193988643906,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.918690867706355e-05,,,0.03699834038107192
ITIH2,0.394608772385242,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.891535870700318e-05,,,0.03699834038107192
TNNI1,0.39279487206200353,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.3101305702368476e-05,,,0.03699834038107192
MYL4,0.3925365688688139,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.424861844369501e-05,,,0.03699834038107192
CRYBB1,0.3922901626560771,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.2288981858986326e-05,,,0.03699834038107192
CXCL14,0.3871006470226054,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.963445803017181e-05,,,0.03699834038107192
