,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
AFP,0.8839855009365701,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,7.880857576774961e-05,,,0.037176976750599854
ALB,0.8685598584397581,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,8.566141859242161e-05,,,0.037176976750599854
HBB-BT,0.7115390508908208,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,7.414836898260639e-05,,,0.037176976750599854
HBB-BS,0.7004861610965967,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.190026740429023e-05,,,0.037176976750599854
ACTC1,0.6924238720686765,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.912308886388302e-05,,,0.037176976750599854
HBA-A1,0.5983673103142949,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.1266148821420926e-05,,,0.037176976750599854
CAR2,0.5916578459796376,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.112749948206687e-05,,,0.037176976750599854
RBP4,0.577699716827797,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.6433400775780326e-05,,,0.037176976750599854
MYLPF,0.5746967060028478,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.906342147610909e-05,,,0.037176976750599854
KRT5,0.5703356966110833,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,6.534544773350491e-05,,,0.037176976750599854
MYH3,0.5675280872082457,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.4805677658596334e-05,,,0.037176976750599854
SERPINA6,0.5548450101947691,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.561253458294848e-05,,,0.037176976750599854
TRF,0.5534521292125314,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.81515856725715e-05,,,0.037176976750599854
APOA1,0.5454269502254411,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.3366436044022447e-05,,,0.037176976750599854
AMBP,0.5399707915002876,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,6.019775103827648e-05,,,0.037176976750599854
APOA2,0.5235613085862445,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.335432336517623e-05,,,0.037176976750599854
ALDH1A1,0.5141360497429878,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.892961391918617e-05,,,0.037176976750599854
TNNT1,0.5082477389844093,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.380508224084679e-05,,,0.037176976750599854
PMEL,0.5011048503860992,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.220838345849178e-05,,,0.037176976750599854
CRYBA1,0.4988462999085985,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.231927608126956e-05,,,0.037176976750599854
GPX1,0.4916242502002109,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.6710239423472996e-05,,,0.037176976750599854
ACTA1,0.4855807799981719,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.815320202777469e-05,,,0.037176976750599854
TPM2,0.4820368521021053,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.4996370743398425e-05,,,0.037176976750599854
KRT17,0.47548658650040765,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.268524471703634e-05,,,0.037176976750599854
TRPM1,0.4687158105423041,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.281845336937422e-05,,,0.037176976750599854
KRT14,0.4641605285636803,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.091294022240336e-05,,,0.037176976750599854
CRYBB3,0.4631007595069411,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.900566853451241e-05,,,0.037176976750599854
SLC25A37,0.44775078748126074,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.5139470847902946e-05,,,0.037176976750599854
COL9A3,0.4393774534622999,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.2094950580853946e-05,,,0.037176976750599854
HOXD13,0.43703033933456537,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.695990721369889e-05,,,0.037176976750599854
HBB-Y,0.4315545407938183,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,6.172883142573149e-05,,,0.037176976750599854
COL1A2,0.4064159012922767,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.281310597490221e-05,,,0.037176976750599854
CPOX,0.4047001431522952,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.491228375683447e-05,,,0.037176976750599854
CRYAA,0.40415416992849706,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.3238930198166705e-05,,,0.037176976750599854
APOE,0.4012339301402404,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.832817236679511e-05,,,0.037176976750599854
TNNC1,0.3963193988643906,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.1492851106766555e-05,,,0.037176976750599854
ITIH2,0.394608772385242,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.226101163002629e-05,,,0.037176976750599854
TNNI1,0.39279487206200353,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.886876878679579e-05,,,0.037176976750599854
MYL4,0.3925365688688139,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.5321002386414874e-05,,,0.037176976750599854
CRYBB1,0.3922901626560771,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.949399463610618e-05,,,0.037176976750599854
CXCL14,0.3871006470226054,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.375175863164841e-05,,,0.037176976750599854
COL2A1,0.38583946710535594,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.6693050792463755e-05,,,0.037176976750599854
SLC4A1,0.38541870013104934,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.391069767026682e-05,,,0.037176976750599854
H19,0.3848991893931071,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.0927842340985655e-05,,,0.037176976750599854
ACTA2,0.3807462436856839,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.3030659231387375e-05,,,0.037176976750599854
BLVRB,0.3764701421651216,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.392263311160118e-05,,,0.037176976750599854
ALAD,0.3740372245371195,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.694622772911234e-05,,,0.037176976750599854
CRYBA4,0.36343690231604814,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.77801171917151e-05,,,0.037176976750599854
TTN,0.36253475785213624,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.2407949305332175e-05,,,0.037176976750599854
COL3A1,0.3614482910873376,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.662883393762607e-05,,,0.037176976750599854
BARX1,0.355458081004624,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.599975604162359e-05,,,0.037176976750599854
TTR,0.35321168718091595,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.1085488547613556e-05,,,0.037176976750599854
CRYGE,0.3527694654644284,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.907465347785617e-05,,,0.037176976750599854
MSX1,0.34999706276370585,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.548830502076944e-05,,,0.037176976750599854
GJA8,0.3467469102539359,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.51847768382837e-05,,,0.037176976750599854
CRYGA,0.34290164874008794,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.0328447039223078e-05,,,0.037176976750599854
KRT15,0.3419091352769694,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.2288930873141095e-05,,,0.037176976750599854
ACTN2,0.336115648076689,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,2.2692844416731917e-05,,,0.037176976750599854
MIP,0.3342188118009917,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.589097976581435e-05,,,0.037176976750599854
CDKN1C,0.33270855711993386,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.7010478308558227e-05,,,0.037176976750599854
APOC2,0.3320271417010178,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.559856066283424e-05,,,0.037176976750599854
PRRX1,0.32804340419286987,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.4641896517321124e-05,,,0.037176976750599854
