,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
AFP,0.8839855009365701,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,9.135257777641994e-05,,,0.035775200107573304
ALB,0.8685598584397581,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,7.53434109952002e-05,,,0.035775200107573304
HBB-BT,0.7115390508908208,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,6.763013175386334e-05,,,0.035775200107573304
HBB-BS,0.7004861610965967,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.7123313188471076e-05,,,0.035775200107573304
ACTC1,0.6924238720686765,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,6.422660275514532e-05,,,0.035775200107573304
HBA-A1,0.5983673103142949,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,6.413332236993129e-05,,,0.035775200107573304
CAR2,0.5916578459796376,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.071725649916761e-05,,,0.035775200107573304
RBP4,0.577699716827797,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.787422735955326e-05,,,0.035775200107573304
MYLPF,0.5746967060028478,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,6.763179342654631e-05,,,0.035775200107573304
KRT5,0.5703356966110833,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.9658379177721873e-05,,,0.035775200107573304
MYH3,0.5675280872082457,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.7625453230417164e-05,,,0.035775200107573304
SERPINA6,0.5548450101947691,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,6.828520609243636e-05,,,0.035775200107573304
TRF,0.5534521292125314,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.4458315548685184e-05,,,0.035775200107573304
APOA1,0.5454269502254411,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.6005686118911324e-05,,,0.035775200107573304
AMBP,0.5399707915002876,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.8352329497114814e-05,,,0.035775200107573304
APOA2,0.5235613085862445,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.833180035147465e-05,,,0.035775200107573304
ALDH1A1,0.5141360497429878,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.293624261451334e-05,,,0.035775200107573304
TNNT1,0.5082477389844093,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.902821421253824e-05,,,0.035775200107573304
PMEL,0.5011048503860992,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.6470874487318835e-05,,,0.035775200107573304
CRYBA1,0.4988462999085985,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.346820043057383e-05,,,0.035775200107573304
GPX1,0.4916242502002109,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,6.649731708980573e-05,,,0.035775200107573304
ACTA1,0.4855807799981719,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.813880460025175e-05,,,0.035775200107573304
TPM2,0.4820368521021053,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,5.582467480595848e-05,,,0.035775200107573304
KRT17,0.47548658650040765,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.303191830289391e-05,,,0.035775200107573304
TRPM1,0.4687158105423041,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.4355126218686e-05,,,0.035775200107573304
KRT14,0.4641605285636803,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,3.876141244546326e-05,,,0.035775200107573304
CRYBB3,0.4631007595069411,0.0,2.7372012562404945e-05,0.0,0.009900990099009901,4.873939110911071e-05,,,0.035775200107573304
