,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
HPCA,0.5489146069974202,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.162855508295506e-05,,,0.02694030007454616
NRGN,0.5359558159836252,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.696467440460308e-05,,,0.02694030007454616
PLP1,0.4990394131980091,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.113993297423285e-05,,,0.02694030007454616
MBP,0.4792946352295487,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.174370355977853e-05,,,0.02694030007454616
PPP3CA,0.46178275366761395,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.245691118348402e-05,,,0.02694030007454616
CCDC153,0.4201459683142366,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9642969663732757e-05,,,0.02694030007454616
1500015O10RIK,0.40974287003939847,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9273051959177045e-05,,,0.02694030007454616
C1QL2,0.404598432864886,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9759219517985438e-05,,,0.02694030007454616
TAC2,0.39444433041115756,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.532028079154865e-05,,,0.02694030007454616
MOBP,0.39406589920339524,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.371015696146431e-05,,,0.02694030007454616
WIPF3,0.3924484621510096,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.821956587138255e-05,,,0.02694030007454616
SNAP25,0.3703063201524497,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.0012978207146812e-05,,,0.02694030007454616
PTK2B,0.3662178541986473,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9205414320931512e-05,,,0.02694030007454616
SST,0.36218580419976476,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.68233494438486e-05,,,0.02694030007454616
NEUROD6,0.35475073151936376,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5838992807515315e-05,,,0.02694030007454616
CHN1,0.3490441741202148,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.077730640871868e-05,,,0.02694030007454616
GM5741,0.34460102875857085,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,4.697553979256767e-05,,,0.02694030007454616
ATP2B1,0.34162963822985976,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7564263449029565e-05,,,0.02694030007454616
GRIA1,0.3404873190386932,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,4.119059048795516e-05,,,0.02694030007454616
CHGB,0.3384570108855726,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9664180271383995e-05,,,0.02694030007454616
FIBCD1,0.33831812095225583,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7459510887358245e-05,,,0.02694030007454616
WFS1,0.33723548672404663,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.0580462068213405e-05,,,0.02694030007454616
PCP4,0.337148895819579,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.071893058733133e-05,,,0.02694030007454616
NWD2,0.337031507753485,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7169153055307273e-05,,,0.02694030007454616
MAL,0.33540285308096435,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.231543993634657e-05,,,0.02694030007454616
ATP1B1,0.33304848160209444,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.510834834790103e-05,,,0.02694030007454616
TTR,0.33142198823344743,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6909340354718102e-05,,,0.02694030007454616
CRYM,0.33012604747966073,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5197680311921607e-05,,,0.02694030007454616
CAMK2B,0.3281004979621096,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.861718108612274e-05,,,0.02694030007454616
CHRNB4,0.32542515812934675,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.3910781513172386e-05,,,0.02694030007454616
OLFM1,0.32476810300875697,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.646741119068403e-05,,,0.02694030007454616
CPNE6,0.32422398563083654,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6628661424409376e-05,,,0.02694030007454616
SPINK8,0.32372438814073756,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.2187015999820832e-05,,,0.02694030007454616
NCDN,0.32259547752690154,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3802199984229026e-05,,,0.02694030007454616
GPR151,0.32195705763164484,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6593263870416525e-05,,,0.02694030007454616
GRIA2,0.3205679679722729,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.337737856281481e-05,,,0.02694030007454616
H2-AA,0.3178055513263529,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,6.148130756481276e-06,,,0.02694030007454616
IGF2,0.31115186503354575,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8161989437218657e-05,,,0.02694030007454616
CNP,0.3107493021180657,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.312369527926381e-05,,,0.02694030007454616
CAMK2A,0.3091649615530013,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7760455268936945e-05,,,0.02694030007454616
MEG3,0.3059815580797703,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.239023038085268e-05,,,0.02694030007454616
KIF5A,0.3053683236299244,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.10815445111417e-05,,,0.02694030007454616
CALM2,0.3053538819971116,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.9639437374356858e-05,,,0.02694030007454616
CALB2,0.2999182611249042,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.816116925264011e-05,,,0.02694030007454616
TMEM212,0.29963858559281475,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.714918300518798e-05,,,0.02694030007454616
DDN,0.29955286670593223,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3943073280741424e-05,,,0.02694030007454616
POU4F1,0.29659211612226044,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.1702073445226375e-05,,,0.02694030007454616
2010300C02RIK,0.29268436440358414,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5406528633872744e-05,,,0.02694030007454616
CHRNA3,0.2901417598081111,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.641070503876835e-05,,,0.02694030007454616
FOLR1,0.2895179765414212,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.65398122771323e-05,,,0.02694030007454616
H2-AB1,0.28906360228159517,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.0649874509495419e-05,,,0.02694030007454616
CPLX2,0.2880014466474049,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9273732430821795e-05,,,0.02694030007454616
RTN1,0.28649256394445766,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.1841843026997476e-05,,,0.02694030007454616
ZIC1,0.2840736381842897,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.08252996128338e-05,,,0.02694030007454616
PPP3R1,0.28404789890126037,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.237882260310319e-05,,,0.02694030007454616
NPY,0.28260056931507643,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7488823845387528e-05,,,0.02694030007454616
SNCA,0.2825696081889028,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.0333068463071865e-05,,,0.02694030007454616
RBFOX1,0.2823142726419937,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.9789458780973304e-05,,,0.02694030007454616
RSPH1,0.2781770064692131,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.248107141283907e-05,,,0.02694030007454616
CALML4,0.27514822908390146,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4946619586232724e-05,,,0.02694030007454616
LPPR4,0.27223930676605085,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.966275840624961e-05,,,0.02694030007454616
PTGDS,0.27150079336649235,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.619445926055224e-05,,,0.02694030007454616
ITPKA,0.27072538667761287,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.194175098775557e-05,,,0.02694030007454616
MEF2C,0.27000226256137677,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8974868926912012e-05,,,0.02694030007454616
FAM131A,0.26931849319461293,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7071900249328167e-05,,,0.02694030007454616
GNG8,0.26916694180978984,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.631651791144916e-05,,,0.02694030007454616
ENC1,0.26878524349843597,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7279692580892855e-05,,,0.02694030007454616
PRKCB,0.2667141802313796,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3141848562763544e-05,,,0.02694030007454616
RARRES2,0.2654208535248941,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8122218409387953e-05,,,0.02694030007454616
TAC1,0.26510694495628134,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.998582968235326e-05,,,0.02694030007454616
VSNL1,0.2639703991706634,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3775049547982936e-05,,,0.02694030007454616
SYT1,0.26374849782495663,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.355445770534001e-05,,,0.02694030007454616
FTH1,0.26306983144547813,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6701965161373726e-05,,,0.02694030007454616
CCK,0.26192809470602163,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.407847113215727e-05,,,0.02694030007454616
CLDN11,0.26104449586259476,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.976235397202401e-05,,,0.02694030007454616
KCNJ13,0.2610119280488934,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.1727766741236736e-05,,,0.02694030007454616
GRIN2A,0.25969050540500643,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.1691162290679016e-05,,,0.02694030007454616
DKK3,0.256629169010249,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.1466052771649457e-05,,,0.02694030007454616
MAP1B,0.25605393857770026,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8559417950452007e-05,,,0.02694030007454616
