,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
HPCA,0.5489146069974202,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,4.004776064687822e-05,,,0.026901075282908835
NRGN,0.5359558159836252,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.2708737352726686e-05,,,0.026901075282908835
PLP1,0.4990394131980091,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.519346039552217e-05,,,0.026901075282908835
MBP,0.4792946352295487,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.854626074980427e-05,,,0.026901075282908835
PPP3CA,0.46178275366761395,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.5234598535866494e-05,,,0.026901075282908835
CCDC153,0.4201459683142366,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.412525860546139e-05,,,0.026901075282908835
1500015O10RIK,0.40974287003939847,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.6026071212113575e-05,,,0.026901075282908835
C1QL2,0.404598432864886,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.072755395969831e-05,,,0.026901075282908835
TAC2,0.39444433041115756,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8165138023191145e-05,,,0.026901075282908835
MOBP,0.39406589920339524,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.660942873110778e-05,,,0.026901075282908835
WIPF3,0.3924484621510096,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.48786723068385e-05,,,0.026901075282908835
SNAP25,0.3703063201524497,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.20453585102985e-05,,,0.026901075282908835
PTK2B,0.3662178541986473,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.509644812567381e-05,,,0.026901075282908835
SST,0.36218580419976476,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7143946078837102e-05,,,0.026901075282908835
NEUROD6,0.35475073151936376,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8195682763175123e-05,,,0.026901075282908835
CHN1,0.3490441741202148,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.678285284686964e-05,,,0.026901075282908835
GM5741,0.34460102875857085,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.718981197074826e-05,,,0.026901075282908835
ATP2B1,0.34162963822985976,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.1180694236384684e-05,,,0.026901075282908835
GRIA1,0.3404873190386932,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.736867833562107e-05,,,0.026901075282908835
CHGB,0.3384570108855726,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.579708746666027e-05,,,0.026901075282908835
FIBCD1,0.33831812095225583,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4937481738141378e-05,,,0.026901075282908835
WFS1,0.33723548672404663,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.1674857014070607e-05,,,0.026901075282908835
PCP4,0.337148895819579,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.12379407824164e-05,,,0.026901075282908835
NWD2,0.337031507753485,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8272457170995898e-05,,,0.026901075282908835
MAL,0.33540285308096435,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.001005194251078e-05,,,0.026901075282908835
ATP1B1,0.33304848160209444,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.190081744880424e-05,,,0.026901075282908835
TTR,0.33142198823344743,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.0475593566344946e-05,,,0.026901075282908835
CRYM,0.33012604747966073,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9852509011241588e-05,,,0.026901075282908835
CAMK2B,0.3281004979621096,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.928288459528403e-05,,,0.026901075282908835
CHRNB4,0.32542515812934675,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.1616542395257466e-05,,,0.026901075282908835
OLFM1,0.32476810300875697,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.049298362893973e-05,,,0.026901075282908835
CPNE6,0.32422398563083654,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.456852440155746e-05,,,0.026901075282908835
SPINK8,0.32372438814073756,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5683186041013352e-05,,,0.026901075282908835
NCDN,0.32259547752690154,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.846456243082283e-05,,,0.026901075282908835
GPR151,0.32195705763164484,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.485141000137965e-05,,,0.026901075282908835
GRIA2,0.3205679679722729,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7776377859085546e-05,,,0.026901075282908835
H2-AA,0.3178055513263529,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,8.184253796279704e-06,,,0.026901075282908835
IGF2,0.31115186503354575,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.2886811597208392e-05,,,0.026901075282908835
CNP,0.3107493021180657,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9138328845285073e-05,,,0.026901075282908835
CAMK2A,0.3091649615530013,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.1904094255610015e-05,,,0.026901075282908835
MEG3,0.3059815580797703,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4870207348092103e-05,,,0.026901075282908835
KIF5A,0.3053683236299244,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.06770007797597e-05,,,0.026901075282908835
CALM2,0.3053538819971116,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6756287586316593e-05,,,0.026901075282908835
CALB2,0.2999182611249042,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.08074655840287e-05,,,0.026901075282908835
TMEM212,0.29963858559281475,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.2271546789119933e-05,,,0.026901075282908835
DDN,0.29955286670593223,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5951724309900814e-05,,,0.026901075282908835
POU4F1,0.29659211612226044,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8753124518371458e-05,,,0.026901075282908835
2010300C02RIK,0.29268436440358414,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3621428449438295e-05,,,0.026901075282908835
CHRNA3,0.2901417598081111,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.169022497294924e-05,,,0.026901075282908835
FOLR1,0.2895179765414212,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3061049036909145e-05,,,0.026901075282908835
H2-AB1,0.28906360228159517,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,9.452813049389896e-06,,,0.026901075282908835
CPLX2,0.2880014466474049,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.303732056870325e-05,,,0.026901075282908835
RTN1,0.28649256394445766,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.6136721946570764e-05,,,0.026901075282908835
ZIC1,0.2840736381842897,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.96244805400102e-05,,,0.026901075282908835
PPP3R1,0.28404789890126037,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6457009178790846e-05,,,0.026901075282908835
NPY,0.28260056931507643,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5983605628419832e-05,,,0.026901075282908835
SNCA,0.2825696081889028,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4096474449237745e-05,,,0.026901075282908835
RBFOX1,0.2823142726419937,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5238961998042432e-05,,,0.026901075282908835
RSPH1,0.2781770064692131,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.7876417362926493e-05,,,0.026901075282908835
CALML4,0.27514822908390146,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4758254931518447e-05,,,0.026901075282908835
LPPR4,0.27223930676605085,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.0569097490644107e-05,,,0.026901075282908835
PTGDS,0.27150079336649235,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.0127916893213964e-05,,,0.026901075282908835
ITPKA,0.27072538667761287,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6173893651459776e-05,,,0.026901075282908835
MEF2C,0.27000226256137677,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.044437279755305e-05,,,0.026901075282908835
FAM131A,0.26931849319461293,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.473292275487367e-05,,,0.026901075282908835
GNG8,0.26916694180978984,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7900867630199478e-05,,,0.026901075282908835
ENC1,0.26878524349843597,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.0259511978938388e-05,,,0.026901075282908835
PRKCB,0.2667141802313796,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.0311213425669047e-05,,,0.026901075282908835
RARRES2,0.2654208535248941,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.24609188592233e-05,,,0.026901075282908835
TAC1,0.26510694495628134,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.2282775530437373e-05,,,0.026901075282908835
VSNL1,0.2639703991706634,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.983238784023082e-05,,,0.026901075282908835
SYT1,0.26374849782495663,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4000673927504474e-05,,,0.026901075282908835
FTH1,0.26306983144547813,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9755986609695823e-05,,,0.026901075282908835
CCK,0.26192809470602163,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8367067940139146e-05,,,0.026901075282908835
CLDN11,0.26104449586259476,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.018974964481837e-05,,,0.026901075282908835
KCNJ13,0.2610119280488934,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.2376651179961695e-05,,,0.026901075282908835
GRIN2A,0.25969050540500643,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.8855295659308052e-05,,,0.026901075282908835
DKK3,0.256629169010249,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.157379483082612e-05,,,0.026901075282908835
MAP1B,0.25605393857770026,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.352000217501564e-05,,,0.026901075282908835
NNAT,0.2557561989355789,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5791169650984895e-05,,,0.026901075282908835
APOD,0.25471678137949816,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.1201458093200318e-05,,,0.026901075282908835
NCALD,0.25416315613876134,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3207281888816054e-05,,,0.026901075282908835
PRKCD,0.2539804776174705,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8038434143822893e-05,,,0.026901075282908835
SNHG11,0.2524775790943021,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3296064629556405e-05,,,0.026901075282908835
ACTA2,0.2521064752673764,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.725789826786478e-05,,,0.026901075282908835
SYN2,0.2506755861322104,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6614042778589254e-05,,,0.026901075282908835
SNCG,0.250351250931336,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8201797784249578e-05,,,0.026901075282908835
SOSTDC1,0.2496137669401041,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.734437245777907e-05,,,0.026901075282908835
ATP6V1G2,0.24751394704720364,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.2080319150950624e-05,,,0.026901075282908835
CD74,0.24612160696781535,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,8.462031237556473e-06,,,0.026901075282908835
NPTXR,0.24558859907805297,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.115369160590873e-05,,,0.026901075282908835
HS3ST4,0.2455847448212206,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8080511545070892e-05,,,0.026901075282908835
KCNE2,0.2453002101382392,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.2995187730514367e-05,,,0.026901075282908835
SYT9,0.24412098168100443,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.361586601340794e-05,,,0.026901075282908835
ENPP2,0.24231331936969386,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3597104192143663e-05,,,0.026901075282908835
EPHA4,0.23952575589339925,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3864187844838744e-05,,,0.026901075282908835
CLIC6,0.23727456561593446,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.706388629821999e-05,,,0.026901075282908835
3110035E14RIK,0.23581337368681682,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7300950883993015e-05,,,0.026901075282908835
