,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
HPCA,0.5489146069974202,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.57400872375081e-05,,,0.026997558948243388
NRGN,0.5359558159836252,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.3331478614740454e-05,,,0.026997558948243388
PLP1,0.4990394131980091,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.184026842401761e-05,,,0.026997558948243388
MBP,0.4792946352295487,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.184358258157263e-05,,,0.026997558948243388
PPP3CA,0.46178275366761395,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7505538918725565e-05,,,0.026997558948243388
CCDC153,0.4201459683142366,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.757121800583626e-05,,,0.026997558948243388
1500015O10RIK,0.40974287003939847,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.073502750427249e-05,,,0.026997558948243388
C1QL2,0.404598432864886,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.323611051906929e-05,,,0.026997558948243388
TAC2,0.39444433041115756,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.493766365877527e-05,,,0.026997558948243388
MOBP,0.39406589920339524,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,4.0513421259361626e-05,,,0.026997558948243388
WIPF3,0.3924484621510096,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4370447319855628e-05,,,0.026997558948243388
SNAP25,0.3703063201524497,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.718984602664743e-05,,,0.026997558948243388
PTK2B,0.3662178541986473,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.124594021346515e-05,,,0.026997558948243388
SST,0.36218580419976476,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3007218082013533e-05,,,0.026997558948243388
NEUROD6,0.35475073151936376,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5796396541297562e-05,,,0.026997558948243388
CHN1,0.3490441741202148,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.2166710084860846e-05,,,0.026997558948243388
GM5741,0.34460102875857085,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6220590879328332e-05,,,0.026997558948243388
ATP2B1,0.34162963822985976,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.927007945116286e-05,,,0.026997558948243388
GRIA1,0.3404873190386932,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3042110193152648e-05,,,0.026997558948243388
CHGB,0.3384570108855726,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9846661487427698e-05,,,0.026997558948243388
FIBCD1,0.33831812095225583,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.823776047597501e-05,,,0.026997558948243388
WFS1,0.33723548672404663,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6159066661479998e-05,,,0.026997558948243388
PCP4,0.337148895819579,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.892362744761161e-05,,,0.026997558948243388
NWD2,0.337031507753485,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4637989065401498e-05,,,0.026997558948243388
MAL,0.33540285308096435,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.188053227617733e-05,,,0.026997558948243388
ATP1B1,0.33304848160209444,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.961468106227333e-05,,,0.026997558948243388
TTR,0.33142198823344743,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6105402041494116e-05,,,0.026997558948243388
CRYM,0.33012604747966073,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7125908209974266e-05,,,0.026997558948243388
CAMK2B,0.3281004979621096,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.2432951423389537e-05,,,0.026997558948243388
CHRNB4,0.32542515812934675,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.222367095844226e-05,,,0.026997558948243388
OLFM1,0.32476810300875697,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8278475178578393e-05,,,0.026997558948243388
CPNE6,0.32422398563083654,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.844251745153315e-05,,,0.026997558948243388
SPINK8,0.32372438814073756,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5703225747795963e-05,,,0.026997558948243388
NCDN,0.32259547752690154,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7836024301436998e-05,,,0.026997558948243388
GPR151,0.32195705763164484,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.742760019284087e-05,,,0.026997558948243388
GRIA2,0.3205679679722729,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.1035341855458398e-05,,,0.026997558948243388
H2-AA,0.3178055513263529,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,6.887401884218375e-05,,,0.026997558948243388
IGF2,0.31115186503354575,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.157295003068806e-05,,,0.026997558948243388
CNP,0.3107493021180657,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.594385074011369e-05,,,0.026997558948243388
CAMK2A,0.3091649615530013,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.178964619017509e-05,,,0.026997558948243388
MEG3,0.3059815580797703,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7899799881820686e-05,,,0.026997558948243388
KIF5A,0.3053683236299244,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9549475906298257e-05,,,0.026997558948243388
CALM2,0.3053538819971116,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.1837566252052346e-05,,,0.026997558948243388
CALB2,0.2999182611249042,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6214010470229355e-05,,,0.026997558948243388
TMEM212,0.29963858559281475,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7373837171551507e-05,,,0.026997558948243388
DDN,0.29955286670593223,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9815317892293945e-05,,,0.026997558948243388
POU4F1,0.29659211612226044,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.0181260089055505e-05,,,0.026997558948243388
2010300C02RIK,0.29268436440358414,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.1361908434563235e-05,,,0.026997558948243388
CHRNA3,0.2901417598081111,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.3273706547828604e-05,,,0.026997558948243388
FOLR1,0.2895179765414212,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9556482509505593e-05,,,0.026997558948243388
H2-AB1,0.28906360228159517,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.806898251231633e-05,,,0.026997558948243388
CPLX2,0.2880014466474049,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7127937187093562e-05,,,0.026997558948243388
RTN1,0.28649256394445766,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.056843823116984e-05,,,0.026997558948243388
ZIC1,0.2840736381842897,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.1575901655573568e-05,,,0.026997558948243388
PPP3R1,0.28404789890126037,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.2363818849740766e-05,,,0.026997558948243388
NPY,0.28260056931507643,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3450443975172684e-05,,,0.026997558948243388
SNCA,0.2825696081889028,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3212641238812107e-05,,,0.026997558948243388
RBFOX1,0.2823142726419937,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6216568856509394e-05,,,0.026997558948243388
RSPH1,0.2781770064692131,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5723548386017444e-05,,,0.026997558948243388
CALML4,0.27514822908390146,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3641793125178204e-05,,,0.026997558948243388
LPPR4,0.27223930676605085,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.983439499329701e-05,,,0.026997558948243388
PTGDS,0.27150079336649235,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.0524468351313033e-05,,,0.026997558948243388
ITPKA,0.27072538667761287,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4700187986779064e-05,,,0.026997558948243388
MEF2C,0.27000226256137677,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.072834383684108e-05,,,0.026997558948243388
FAM131A,0.26931849319461293,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7161741294811234e-05,,,0.026997558948243388
GNG8,0.26916694180978984,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.701523754263851e-05,,,0.026997558948243388
ENC1,0.26878524349843597,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.8388575346050723e-05,,,0.026997558948243388
PRKCB,0.2667141802313796,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5115772773917095e-05,,,0.026997558948243388
RARRES2,0.2654208535248941,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5282738098332324e-05,,,0.026997558948243388
TAC1,0.26510694495628134,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3397431180135728e-05,,,0.026997558948243388
VSNL1,0.2639703991706634,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.2744185255218898e-05,,,0.026997558948243388
SYT1,0.26374849782495663,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.213613909616302e-05,,,0.026997558948243388
FTH1,0.26306983144547813,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6071997743325935e-05,,,0.026997558948243388
CCK,0.26192809470602163,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3648842883184576e-05,,,0.026997558948243388
CLDN11,0.26104449586259476,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.332112414507575e-05,,,0.026997558948243388
KCNJ13,0.2610119280488934,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.337721543028618e-05,,,0.026997558948243388
GRIN2A,0.25969050540500643,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.424622253586529e-05,,,0.026997558948243388
DKK3,0.256629169010249,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.845204204838479e-05,,,0.026997558948243388
MAP1B,0.25605393857770026,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4176236597382857e-05,,,0.026997558948243388
