,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
HPCA,0.5489146069974202,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,4.990703009129211e-05,,0.0,0.02715991230287
NRGN,0.5359558159836252,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.9956458746369696e-05,,0.0,0.02715991230287
PLP1,0.4990394131980091,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.217120019252712e-05,,0.0,0.02715991230287
MBP,0.4792946352295487,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.662961994541727e-05,,0.0,0.02715991230287
PPP3CA,0.46178275366761395,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.759506925474612e-05,,0.0,0.02715991230287
CCDC153,0.4201459683142366,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.93662813462636e-05,,0.0,0.02715991230287
1500015O10RIK,0.40974287003939847,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.4841869103320995e-05,,0.0,0.02715991230287
C1QL2,0.404598432864886,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8700666637142782e-05,,0.0,0.02715991230287
TAC2,0.39444433041115756,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.779905793721907e-05,,0.0,0.02715991230287
MOBP,0.39406589920339524,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.067340363485044e-05,,0.0,0.02715991230287
WIPF3,0.3924484621510096,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.006409677279529e-05,,0.0,0.02715991230287
SNAP25,0.3703063201524497,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8964894664244885e-05,,0.0,0.02715991230287
PTK2B,0.3662178541986473,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.811295457319441e-05,,0.0,0.02715991230287
SST,0.36218580419976476,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4538334549531274e-05,,0.0,0.02715991230287
NEUROD6,0.35475073151936376,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5544384068891617e-05,,0.0,0.02715991230287
CHN1,0.3490441741202148,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8205148252112296e-05,,0.0,0.02715991230287
GM5741,0.34460102875857085,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6240825296505865e-05,,0.0,0.02715991230287
ATP2B1,0.34162963822985976,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.100040020003251e-05,,0.0,0.02715991230287
GRIA1,0.3404873190386932,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.3116536110682485e-05,,0.0,0.02715991230287
CHGB,0.3384570108855726,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.11461839550408e-05,,0.0,0.02715991230287
FIBCD1,0.33831812095225583,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.0166186273064666e-05,,0.0,0.02715991230287
WFS1,0.33723548672404663,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5268123523588567e-05,,0.0,0.02715991230287
PCP4,0.337148895819579,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.1854024510256676e-05,,0.0,0.02715991230287
NWD2,0.337031507753485,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.0756883640999546e-05,,0.0,0.02715991230287
MAL,0.33540285308096435,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.305271038249799e-05,,0.0,0.02715991230287
ATP1B1,0.33304848160209444,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.252303335383051e-05,,0.0,0.02715991230287
TTR,0.33142198823344743,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.593914610781775e-05,,0.0,0.02715991230287
CRYM,0.33012604747966073,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4731174051281475e-05,,0.0,0.02715991230287
CAMK2B,0.3281004979621096,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6780004204921395e-05,,0.0,0.02715991230287
CHRNB4,0.32542515812934675,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.365819870657598e-05,,0.0,0.02715991230287
OLFM1,0.32476810300875697,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.4777787812655006e-05,,0.0,0.02715991230287
CPNE6,0.32422398563083654,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.553664777218731e-05,,0.0,0.02715991230287
SPINK8,0.32372438814073756,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5045232695940724e-05,,0.0,0.02715991230287
NCDN,0.32259547752690154,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.33216759059247e-05,,0.0,0.02715991230287
GPR151,0.32195705763164484,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.354490253314822e-05,,0.0,0.02715991230287
GRIA2,0.3205679679722729,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.074061424464005e-05,,0.0,0.02715991230287
H2-AA,0.3178055513263529,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,7.566779731553415e-06,,0.0,0.02715991230287
IGF2,0.31115186503354575,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3674309875372426e-05,,0.0,0.02715991230287
CNP,0.3107493021180657,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8504910526766134e-05,,0.0,0.02715991230287
CAMK2A,0.3091649615530013,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9035509200122154e-05,,0.0,0.02715991230287
MEG3,0.3059815580797703,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4771313962469586e-05,,0.0,0.02715991230287
KIF5A,0.3053683236299244,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.058848155980555e-05,,0.0,0.02715991230287
CALM2,0.3053538819971116,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9228504191921302e-05,,0.0,0.02715991230287
CALB2,0.2999182611249042,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.354479514121616e-05,,0.0,0.02715991230287
TMEM212,0.29963858559281475,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.483295785469021e-05,,0.0,0.02715991230287
DDN,0.29955286670593223,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9399099402396607e-05,,0.0,0.02715991230287
POU4F1,0.29659211612226044,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9333834573050223e-05,,0.0,0.02715991230287
2010300C02RIK,0.29268436440358414,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.588062959702751e-05,,0.0,0.02715991230287
CHRNA3,0.2901417598081111,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6483875845758736e-05,,0.0,0.02715991230287
FOLR1,0.2895179765414212,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.0843485770645267e-05,,0.0,0.02715991230287
H2-AB1,0.28906360228159517,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9958752234140746e-06,,0.0,0.02715991230287
CPLX2,0.2880014466474049,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.107703322432753e-05,,0.0,0.02715991230287
RTN1,0.28649256394445766,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.29650671986718e-05,,0.0,0.02715991230287
