,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
HPCA,0.5489146069974202,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.1775395105923076e-05,,,0.027112810000317
NRGN,0.5359558159836252,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9557676655000205e-05,,,0.027112810000317
PLP1,0.4990394131980091,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6295511430543536e-05,,,0.027112810000317
MBP,0.4792946352295487,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.474896895862947e-05,,,0.027112810000317
PPP3CA,0.46178275366761395,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.561255937080616e-05,,,0.027112810000317
CCDC153,0.4201459683142366,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9843865136182913e-05,,,0.027112810000317
1500015O10RIK,0.40974287003939847,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.308888900789751e-05,,,0.027112810000317
C1QL2,0.404598432864886,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3092961387321096e-05,,,0.027112810000317
TAC2,0.39444433041115756,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.671766312169999e-05,,,0.027112810000317
MOBP,0.39406589920339524,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.5636099896284125e-05,,,0.027112810000317
WIPF3,0.3924484621510096,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6835914863255227e-05,,,0.027112810000317
SNAP25,0.3703063201524497,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.846519961980609e-05,,,0.027112810000317
PTK2B,0.3662178541986473,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6544474454025254e-05,,,0.027112810000317
SST,0.36218580419976476,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.2408557520021624e-05,,,0.027112810000317
