,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
HPCA,0.5489146069974202,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,4.187091531898944e-05,,0.0,0.027127285606296882
NRGN,0.5359558159836252,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.268681435932852e-05,,0.0,0.027127285606296882
PLP1,0.4990394131980091,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,4.112036881995482e-05,,0.0,0.027127285606296882
MBP,0.4792946352295487,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,4.516374863720386e-05,,0.0,0.027127285606296882
PPP3CA,0.46178275366761395,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6469553412389015e-05,,0.0,0.027127285606296882
CCDC153,0.4201459683142366,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8663483461461592e-05,,0.0,0.027127285606296882
1500015O10RIK,0.40974287003939847,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.974483552135682e-05,,0.0,0.027127285606296882
C1QL2,0.404598432864886,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.4685561274097604e-05,,0.0,0.027127285606296882
TAC2,0.39444433041115756,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.269472500310438e-05,,0.0,0.027127285606296882
MOBP,0.39406589920339524,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.701351625703478e-05,,0.0,0.027127285606296882
WIPF3,0.3924484621510096,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.764276948896912e-05,,0.0,0.027127285606296882
SNAP25,0.3703063201524497,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.4298375098507663e-05,,0.0,0.027127285606296882
PTK2B,0.3662178541986473,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.577680719145129e-05,,0.0,0.027127285606296882
SST,0.36218580419976476,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7169006555523533e-05,,0.0,0.027127285606296882
NEUROD6,0.35475073151936376,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.550846464274511e-05,,0.0,0.027127285606296882
CHN1,0.3490441741202148,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9786422357122308e-05,,0.0,0.027127285606296882
GM5741,0.34460102875857085,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.03860004659781e-05,,0.0,0.027127285606296882
ATP2B1,0.34162963822985976,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6326191262159866e-05,,0.0,0.027127285606296882
GRIA1,0.3404873190386932,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7414008743306804e-05,,0.0,0.027127285606296882
CHGB,0.3384570108855726,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7754295127432857e-05,,0.0,0.027127285606296882
FIBCD1,0.33831812095225583,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4232216629613757e-05,,0.0,0.027127285606296882
WFS1,0.33723548672404663,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4335067150301416e-05,,0.0,0.027127285606296882
PCP4,0.337148895819579,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.788971845019238e-05,,0.0,0.027127285606296882
NWD2,0.337031507753485,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9878309855954663e-05,,0.0,0.027127285606296882
MAL,0.33540285308096435,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7177837053270556e-05,,0.0,0.027127285606296882
ATP1B1,0.33304848160209444,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.270980740418569e-05,,0.0,0.027127285606296882
TTR,0.33142198823344743,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.067025299817019e-05,,0.0,0.027127285606296882
CRYM,0.33012604747966073,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.529214530055193e-05,,0.0,0.027127285606296882
CAMK2B,0.3281004979621096,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.8841680890924604e-05,,0.0,0.027127285606296882
CHRNB4,0.32542515812934675,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3451965873121585e-05,,0.0,0.027127285606296882
OLFM1,0.32476810300875697,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.5257395792597845e-05,,0.0,0.027127285606296882
CPNE6,0.32422398563083654,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6028959248391594e-05,,0.0,0.027127285606296882
SPINK8,0.32372438814073756,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.444280081317264e-05,,0.0,0.027127285606296882
NCDN,0.32259547752690154,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8677926899094936e-05,,0.0,0.027127285606296882
GPR151,0.32195705763164484,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8220224014989458e-05,,0.0,0.027127285606296882
GRIA2,0.3205679679722729,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.709411055882233e-05,,0.0,0.027127285606296882
H2-AA,0.3178055513263529,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.4294048833465489e-05,,0.0,0.027127285606296882
IGF2,0.31115186503354575,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.009980102286139e-05,,0.0,0.027127285606296882
CNP,0.3107493021180657,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9508183265993018e-05,,0.0,0.027127285606296882
CAMK2A,0.3091649615530013,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.3997522254233715e-05,,0.0,0.027127285606296882
MEG3,0.3059815580797703,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.931621047102097e-05,,0.0,0.027127285606296882
KIF5A,0.3053683236299244,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.734689593541883e-05,,0.0,0.027127285606296882
CALM2,0.3053538819971116,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3808717305722872e-05,,0.0,0.027127285606296882
CALB2,0.2999182611249042,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.2701262674160094e-05,,0.0,0.027127285606296882
TMEM212,0.29963858559281475,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5458655362291005e-05,,0.0,0.027127285606296882
DDN,0.29955286670593223,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7677807461209e-05,,0.0,0.027127285606296882
POU4F1,0.29659211612226044,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7942555333809097e-05,,0.0,0.027127285606296882
2010300C02RIK,0.29268436440358414,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.502195051889275e-05,,0.0,0.027127285606296882
CHRNA3,0.2901417598081111,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6070487055920748e-05,,0.0,0.027127285606296882
FOLR1,0.2895179765414212,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.809701122087718e-05,,0.0,0.027127285606296882
H2-AB1,0.28906360228159517,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,5.9078707829550135e-06,,0.0,0.027127285606296882
CPLX2,0.2880014466474049,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6454474523601888e-05,,0.0,0.027127285606296882
RTN1,0.28649256394445766,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4956793644059315e-05,,0.0,0.027127285606296882
ZIC1,0.2840736381842897,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.341183094765141e-05,,0.0,0.027127285606296882
PPP3R1,0.28404789890126037,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.389059135432426e-05,,0.0,0.027127285606296882
NPY,0.28260056931507643,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.2559207417338668e-05,,0.0,0.027127285606296882
SNCA,0.2825696081889028,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8039480553985484e-05,,0.0,0.027127285606296882
RBFOX1,0.2823142726419937,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7700249212471324e-05,,0.0,0.027127285606296882
RSPH1,0.2781770064692131,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5229861019880907e-05,,0.0,0.027127285606296882
CALML4,0.27514822908390146,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3696691565638717e-05,,0.0,0.027127285606296882
LPPR4,0.27223930676605085,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7637282856039745e-05,,0.0,0.027127285606296882
PTGDS,0.27150079336649235,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.2255863058311947e-05,,0.0,0.027127285606296882
ITPKA,0.27072538667761287,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3651288275099464e-05,,0.0,0.027127285606296882
MEF2C,0.27000226256137677,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.0496915771007668e-05,,0.0,0.027127285606296882
FAM131A,0.26931849319461293,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3324204066002658e-05,,0.0,0.027127285606296882
GNG8,0.26916694180978984,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.0926052303593588e-05,,0.0,0.027127285606296882
ENC1,0.26878524349843597,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.646104631514098e-05,,0.0,0.027127285606296882
PRKCB,0.2667141802313796,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.0640059584614615e-05,,0.0,0.027127285606296882
RARRES2,0.2654208535248941,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5600631193245253e-05,,0.0,0.027127285606296882
TAC1,0.26510694495628134,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6904160418898948e-05,,0.0,0.027127285606296882
VSNL1,0.2639703991706634,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4420889737835007e-05,,0.0,0.027127285606296882
SYT1,0.26374849782495663,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6009034670624462e-05,,0.0,0.027127285606296882
FTH1,0.26306983144547813,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4843246155864608e-05,,0.0,0.027127285606296882
CCK,0.26192809470602163,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.716048287661287e-05,,0.0,0.027127285606296882
CLDN11,0.26104449586259476,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.9326021500322373e-05,,0.0,0.027127285606296882
KCNJ13,0.2610119280488934,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.451625874891535e-05,,0.0,0.027127285606296882
GRIN2A,0.25969050540500643,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.164302617788431e-05,,0.0,0.027127285606296882
DKK3,0.256629169010249,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.8422194781519606e-05,,0.0,0.027127285606296882
MAP1B,0.25605393857770026,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.09853036634593e-05,,0.0,0.027127285606296882
NNAT,0.2557561989355789,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7774397722136087e-05,,0.0,0.027127285606296882
APOD,0.25471678137949816,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.514133715157141e-05,,0.0,0.027127285606296882
NCALD,0.25416315613876134,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.997354781509305e-05,,0.0,0.027127285606296882
PRKCD,0.2539804776174705,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.407670482066054e-05,,0.0,0.027127285606296882
SNHG11,0.2524775790943021,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5451526772672626e-05,,0.0,0.027127285606296882
ACTA2,0.2521064752673764,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8420114983769755e-05,,0.0,0.027127285606296882
SYN2,0.2506755861322104,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.6091973960796567e-05,,0.0,0.027127285606296882
SNCG,0.250351250931336,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.90209767045677e-05,,0.0,0.027127285606296882
SOSTDC1,0.2496137669401041,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5820797409586045e-05,,0.0,0.027127285606296882
ATP6V1G2,0.24751394704720364,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.263723856764958e-05,,0.0,0.027127285606296882
CD74,0.24612160696781535,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.0206483495035267e-05,,0.0,0.027127285606296882
NPTXR,0.24558859907805297,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,3.083894794422072e-05,,0.0,0.027127285606296882
HS3ST4,0.2455847448212206,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5588458714854058e-05,,0.0,0.027127285606296882
KCNE2,0.2453002101382392,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.8565607402183148e-05,,0.0,0.027127285606296882
SYT9,0.24412098168100443,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7908903267061646e-05,,0.0,0.027127285606296882
ENPP2,0.24231331936969386,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.2668992125262103e-05,,0.0,0.027127285606296882
EPHA4,0.23952575589339925,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.7759065925436845e-05,,0.0,0.027127285606296882
CLIC6,0.23727456561593446,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.620788247337572e-05,,0.0,0.027127285606296882
3110035E14RIK,0.23581337368681682,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5706701416468043e-05,,0.0,0.027127285606296882
SEPT4,0.23542173258004293,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.4242922172638096e-05,,0.0,0.027127285606296882
NSG2,0.23533494797186938,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.081516267924953e-05,,0.0,0.027127285606296882
MAG,0.2353243210456474,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3278976052688373e-05,,0.0,0.027127285606296882
ATP1A3,0.23452301770485454,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.3459504084917e-05,,0.0,0.027127285606296882
WASF1,0.23301443257796267,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,1.9856018554073196e-05,,0.0,0.027127285606296882
QDPR,0.23227332501341444,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.22437208012397e-05,,0.0,0.027127285606296882
THY1,0.23220142959339274,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.0581912946876854e-05,,0.0,0.027127285606296882
EPHA7,0.23109453350025186,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.256568163684e-05,,0.0,0.027127285606296882
KALRN,0.22987692402530166,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.5530559841912616e-05,,0.0,0.027127285606296882
CNR1,0.22974898132157698,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.1372069234269876e-05,,0.0,0.027127285606296882
SCUBE1,0.22939769448307948,0.0,2.1633067873231203e-05,0.0,0.009900990099009901,2.111836375117808e-05,,0.0,0.027127285606296882
