,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
HPCA,0.4107938674879977,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,3.002393801887225e-05,,,0.033586156780815696
PCP4,0.4025181038667447,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,3.0338816655070415e-05,,,0.033586156780815696
CCDC153,0.39364832265097816,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.9077594624386118e-05,,,0.033586156780815696
NRGN,0.3775410313364672,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.7900063996840827e-05,,,0.033586156780815696
PLP1,0.3553087488093733,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.5436864199125325e-05,,,0.033586156780815696
TMEM212,0.3404427639932442,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.290608864467139e-05,,,0.033586156780815696
CRYM,0.3210213607455204,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.4529573351708198e-05,,,0.033586156780815696
NEUROD6,0.302438855508607,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.0410297722266165e-05,,,0.033586156780815696
PPP3CA,0.3001539219394012,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.531386504640613e-05,,,0.033586156780815696
HBB-BS,0.29297447898237916,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.3342667120606625e-05,,,0.033586156780815696
WIPF3,0.2917732457137565,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.2782520339276346e-05,,,0.033586156780815696
MBP,0.28193119635539954,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.461929599946543e-05,,,0.033586156780815696
PRKCD,0.2652876519824556,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.8788126292833542e-05,,,0.033586156780815696
SPINK8,0.2622231545950713,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.2301484224401826e-05,,,0.033586156780815696
C1QL2,0.2595796583857376,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.3631038229875067e-05,,,0.033586156780815696
OLFM1,0.2579398190898984,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.0807916162247025e-05,,,0.033586156780815696
PTK2B,0.2537471193155006,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.0576445444356328e-05,,,0.033586156780815696
CALB2,0.2533325512139263,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.8692319930480975e-05,,,0.033586156780815696
CAMK2A,0.2485683897672562,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.683169201656622e-05,,,0.033586156780815696
FAM131A,0.24659653447404392,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.7759208375356087e-05,,,0.033586156780815696
CPNE6,0.24425487662269132,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.1746428240895715e-05,,,0.033586156780815696
CAMK2N1,0.24273173236546294,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.9722009818955387e-05,,,0.033586156780815696
SNCA,0.24158614938289855,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.0496729637112412e-05,,,0.033586156780815696
SNAP25,0.24056833983747616,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.271448574584581e-05,,,0.033586156780815696
ACTA2,0.23718476789874157,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.5003989755711272e-05,,,0.033586156780815696
GRIA1,0.23589694948093273,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.6018372914355518e-05,,,0.033586156780815696
MEF2C,0.23510802529736438,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.7817979128084596e-05,,,0.033586156780815696
CHN1,0.2324310595800101,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.619330829987628e-05,,,0.033586156780815696
TNNT1,0.23210807043314877,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.8783898566313417e-05,,,0.033586156780815696
APOD,0.2304337786629556,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.1455301319321183e-05,,,0.033586156780815696
MGP,0.22275178380422342,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.9924413241881192e-05,,,0.033586156780815696
ATP2B1,0.2227262442566191,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.1385689771879574e-05,,,0.033586156780815696
PTGDS,0.22202497226787044,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.933643687995231e-05,,,0.033586156780815696
ENC1,0.22050989556594486,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.2023899934887352e-05,,,0.033586156780815696
HBB-BT,0.21670946101015096,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.9344025872374165e-05,,,0.033586156780815696
MAL,0.21484612245954426,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.7467297089261413e-05,,,0.033586156780815696
DSP,0.21373083182167732,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.743389516598313e-05,,,0.033586156780815696
GNRH1,0.2130229331357943,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,3.182090404855479e-05,,,0.033586156780815696
PRKCB,0.2123617970412392,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.418942492261502e-05,,,0.033586156780815696
DDN,0.21222163007829,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.1591440382721128e-05,,,0.033586156780815696
CHGB,0.21215358953635344,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.1693270715034933e-05,,,0.033586156780815696
MT-RNR2,0.21118593655623927,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.6759222238425206e-05,,,0.033586156780815696
RSPH1,0.21010748545905567,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.671347532190414e-05,,,0.033586156780815696
NPTX1,0.2094915426069021,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.2064022881364335e-05,,,0.033586156780815696
DNALI1,0.20841195368563503,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.5563328394797873e-05,,,0.033586156780815696
MOBP,0.2081904444625452,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.14285673938134e-05,,,0.033586156780815696
FIBCD1,0.2070367946317279,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.9187333901591663e-05,,,0.033586156780815696
CAMK2B,0.20703051247872867,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.7798825286071176e-05,,,0.033586156780815696
2010300C02RIK,0.20396040717206293,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.932002543876668e-05,,,0.033586156780815696
VWF,0.20188596612280924,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,1.5254243248955815e-05,,,0.033586156780815696
PPP3R1,0.19957572833525705,0.0,2.0753418666357807e-05,0.0,0.009900990099009901,2.0615963319725626e-05,,,0.033586156780815696
