,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
Fabp7,0.6018432861691252,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.002085373628654112,0.0,0.0,0.07385815017980449
Apoe,0.6000838922990465,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0023654030110379872,0.0,0.0,0.07385815017980449
Omp,0.5184964833757701,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.001965927192498648,0.0,0.0,0.07385815017980449
S100a5,0.49465386273552536,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0016912788103317499,0.0,0.0,0.07385815017980449
Scd1,0.49287028107581804,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0017432093355594697,0.0,0.0,0.07385815017980449
Gng13,0.4729244610491939,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0019305810469295514,0.0,0.0,0.07385815017980449
Mcf2l,0.463826824818176,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.001997701825237199,0.0,0.0,0.07385815017980449
Nr2f2,0.46309707656834354,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0014605173315657618,0.0,0.0,0.07385815017980449
Igfbp4,0.46098935999102897,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0020882314496206427,0.0,0.0,0.07385815017980449
Pcp4,0.4598145804454073,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.00144478654229821,0.0,0.0,0.07385815017980449
Mbp,0.4570354086790096,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0016541843443064036,0.0,0.0,0.07385815017980449
Apod,0.44190376771659085,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0013452284032538589,0.0,0.0,0.07385815017980449
Igfbp5,0.4252982925688148,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.00157728928112541,0.0,0.0,0.07385815017980449
Glul,0.4213772223272117,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0018654480690278518,0.0,0.0,0.07385815017980449
Sparcl1,0.4205112407382027,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0018784771674519632,0.0,0.0,0.07385815017980449
Nrgn,0.4158743033983738,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0018426368572903543,0.0,0.0,0.07385815017980449
Sepp1,0.4146945799826239,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0017086737181493837,0.0,0.0,0.07385815017980449
Kif5b,0.4136326219619554,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0016717869729844313,0.0,0.0,0.07385815017980449
Trak2,0.4118769135475901,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0017440154899607064,0.0,0.0,0.07385815017980449
Atf5,0.4083412935209209,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0015188646005980877,0.0,0.0,0.07385815017980449
Cdr1,0.4077902013467804,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0017808820351979632,0.0,0.0,0.07385815017980449
Ccnd1,0.40454243482805247,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0014350130005739532,0.0,0.0,0.07385815017980449
Kctd12,0.4007962379133757,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.001233419669106971,0.0,0.0,0.07385815017980449
Calm2,0.3943052044378444,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0016638444398785342,0.0,0.0,0.07385815017980449
Ptn,0.3926404635087053,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0013674580294847536,0.0,0.0,0.07385815017980449
Camk2a,0.3840056541114579,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.001538213074354283,0.0,0.0,0.07385815017980449
Agap2,0.3817957760206304,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0011974817062471409,0.0,0.0,0.07385815017980449
Camk2n1,0.3817053100586379,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0015342454794624219,0.0,0.0,0.07385815017980449
Sash1,0.37258539273144137,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.001265105043023146,0.0,0.0,0.07385815017980449
Hmgcs2,0.37220115094349504,0.0,0.0011713767402693922,0.0,0.009900990099009901,0.0013661774879194166,0.0,0.0,0.07385815017980449
